All,Alle
"Are you sure?","Are you sure?"
No,Nee
Action,Action
Edit,Edit
Results,Resultaten
Uses,Uses
Delete,Delete
Store,Store
Yes,ja
Home,Thuis
Search,Zoekopdracht
"Search Query","Search Query"
"Redirect URL","Redirect URL"
"Go to Home Page","Ga naar homepage"
Grid,Stramien
List,Lijst
"Catalog Advanced Search","Geavanceerde catalogus zoekopdracht"
Relevance,Relevantie
"Search results for: '%1'","Search results for: '%1'"
"Minimum Search query length is %1","Minimum Search query length is %1"
"Your search query can't be longer than %1, so we had to shorten your query.","Your search query can't be longer than %1, so we had to shorten your query."
"Sorry, but the maximum word count is %1. We left out this part of your search: %2.","Sorry, but the maximum word count is %1. We left out this part of your search: %2."
"Please specify at least one search term.","Specificeer a.u.b. ten minste één zoekterm"
"%1 and greater","%1 and greater"
"up to %1","up to %1"
"Attribute setting change related with Search Index. Please run <a href=""%1"">Rebuild Search Index</a> process.","Attribute setting change related with Search Index. Please run <a href=""%1"">Rebuild Search Index</a> process."
"Catalog Search","Catalogus zoekopdracht"
"Rebuild Catalog product fulltext search index","Bouw catalogus product volledige tekst zoek index opnieuw"
"Please specify correct data.","Please specify correct data."
"Search Settings","Zoek in instellingen"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> were found using the following search criteria"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria"
"No items were found using the following search criteria.","Er zijn geen producten gevonden toen de volgende zoekcriteria werden gebruikt"
"Modify your search","Bewerk uw zoekopdracht"
name,name
"Don't see what you're looking for?","Ziet u niet wat u zoekt?"
"Search entire store here...","Zoek in de gehele winkel hier..."
"Advanced Search","Geavanceerde zoekopdracht"
"Your search returns no results.","Uw zoekopdracht heeft geen resultaten opgeleverd."
"There are no search terms available.","Er zijn geen zoektermen beschikbaar"
"Popular Search Terms","Populaire zoektermen"
"Minimal Query Length","Minimal Query Length"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Applies for ""Like"" search type only","Applies for ""Like"" search type only"
"Search Type","Search Type"
"Apply Layered Navigation if Search Results are Less Than","Apply Layered Navigation if Search Results are Less Than"
"Enter ""0"" to enable layered navigation for any number of results.","Enter ""0"" to enable layered navigation for any number of results."
Synonym,Synonym
"Suggested Terms","Suggested Terms"
yes,yes
no,no
