Always,Toujours
"After number of attempts to login","Après un nombre de tentatives de connexion"
"Incorrect CAPTCHA","Incorrect CAPTCHA"
"Incorrect CAPTCHA.","CAPTCHA incorrect."
"Please enter the letters from the image:","Please enter the letters from the image:"
"Reload captcha","Téléarger à nouveau Captcha"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attention</strong>:Captcha est sensible à la casse."
"Please type the letters below","Veuillez saisir les lettres ci-dessous"
CAPTCHA,CAPTCHA
"Enable CAPTCHA in Admin","Enable CAPTCHA in Admin"
Font,Font
Forms,Forms
"Displaying Mode","Displaying Mode"
"Number of Unsuccessful Attempts to Login","Number of Unsuccessful Attempts to Login"
"If 0 is specified, CAPTCHA on the Login form will be always available.","If 0 is specified, CAPTCHA on the Login form will be always available."
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minutes)"
"Number of Symbols","Number of Symbols"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Please specify 8 symbols at the most. Range allowed (e.g. 3-5)"
"Symbols Used in CAPTCHA","Symbols Used in CAPTCHA"
"
                        Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.
                    ","
                        Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.
                    "
"Case Sensitive","Case Sensitive"
"Enable CAPTCHA on Frontend","Enable CAPTCHA on Frontend"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen."
