"--Please Select--","--Por Favor, Escolha--"
"API Login ID","ID de Login API"
"Accepted Currency","Moeda Aceita"
"Authorize.net Direct Post","Postagem Direta da Authorize.net"
"Card Verification Number","Número de Verificação do Cartão"
"Card Verification Number Visual Reference","Referência Visual de Número de Verificação do Cartão"
"Close","Fechar"
"Credit Card Information","Informações do Cartão de Crédito"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit Card Types","Tipos de Cartão de Crédito"
"Credit Card Verification","Verificação de Cartão de Crédito"
"Debug","Debug"
"Email Customer","Enviar Email ao Cliente"
"Enabled","Ativado"
"Expiration Date","Data de Validade"
"Gateway URL","URL do Gateway"
"Maximum Order Total","Total Máximo do Pedido"
"Merchant MD5","MD5 Vendedor"
"Merchant's Email","Email do Vendedor"
"Minimum Order Total","Total Mínimo do Pedido"
"New Order Status","Status do Novo Pedido"
"Order saving error: %s","Erro na gravação do pedido: %s"
"Payment Action","Ação de Pagamento"
"Payment authorization error.","Erro na autorização de pagamento."
"Payment authorization error. Transacion id is empty.","Erro de autorização de pagamento. ID de transação está vazio."
"Payment error. Order was not found.","Erro de pagamento. Ordem não foi encontrada."
"Payment error. Paid amount doesn\'t match the order amount.","Erro de pagamento. Valor pago não corresponde ao valor da ordem."
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Please, choose payment method","Por favor, escolha o método de pagamento"
"Response hash validation failed. Transaction declined.","Validação de resposta de mistura falhou. Transação recusada."
"Sort Order","Classificar pedido"
"Test Mode","Modo de Teste"
"The order has been created.","A ordem foi criada."
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro ao processar sua ordem. Entre em contato conosco ou tente novamente mais tarde."
"Title","Título"
"Transaction Key","Chave de Transação"
"What is this?","O que é isso?"
"You will be required to enter your payment details before you place an order.","Você será obrigado a inserir seus detalhes de pagamento antes de colocar uma ordem."
