"-OR-","-oder-"
"2-pixel perimeter around the header space.","2-pixel Umkreis um das Feld der Kopfzeile"
"3D Secure","3D Secure Verfahren"
"3D Secure Card Validation","3D Secure Card Validierung"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Für Maestro-Karten wird eine 3D Secure-Bestätigung benötigt. Die Verwendung von American Express-Karten setzt eine weitere Vereinbarung voraus. Mehr Informationen dazu auf <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Akzeptieren Sie jetzt auch PayPal-Zahlungen!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Ein Wert ist für live mode erforderlich. Siehe CardinalCommerce Vereinbarung."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Einlage (Für Dispute oder andere Untersuchungen zurückgehalten)"
"ACH Deposit (Reversal)","ACH Einlage (Stornierung)"
"ACH Funding for Funds Recovery from Account Balance","ACH Finanzierung der Zurückgewinnung des Kontostands"
"ACH Withdrawal","ACH Abhebung"
"API Authentication Methods","API-Authentifikationsmethoden"
"API Certificate","API-Zertifikat"
"API Password","API Passwort"
"API Signature","API Signatur"
"API Username","API Benutzername"
"API Uses Proxy","API benutzt Proxy"
"API/Integration","API/Integration"
"API/Integration Settings","API/Integration Einstellungen"
"Ability for buyer to purchase without PayPal account.","Möglichkeit für Käufer ohne PayPal Konto einzukaufen"
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Akzeptieren Sie PayPal Zahlungen in Ihrem Warenkorb. Paypal wird Ihre Kreditkartenzahlungen mit dem Payflow Pro Gateway abwickeln"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.  Includes a merchant account from PayPal.","Zahlungen über eine PCI-konforme Zahlungsmethode akzeptieren, wodurch Kunden auf Ihrer Seite bleiben. Einschließlich einem Händlerkonto bei Paypal."
"Accept payments with a PCI-compliant checkout that keeps customers on your site. For use with your own merchant account.","Zahlungen über eine PCI-konforme Zahlungsmethode akzeptieren, wodurch Kunden auf Ihrer Seite bleiben. Zur Verwendung mit Ihrem Händlerkonto."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Akzeptieren Sie Zahlungen, ohne dass die Kunden ihre Webseite verlassen. Viele beliebten Web-Hosting-Dienste und Warenkörbe sind mit eingebauten Payflow Zahlungs-Gatways ausgestattet und somit leicht einzurichten."
"Acceptance Mark","Akzeptanz Kennzeichnung"
"Acceptance Mark Image","Akzeptanz Kennzeichnungs-Logo"
"Account-to-Account Payment, initiated by PayPal","Konto-zu-Konto Zahlung, von PayPal eingeleitet"
