"Authorization","Autorisatie"
"Authorization Waiting from Ogone","Wacht op autorisatie van Ogone"
"Authorization not known: A technical problem arose during authorization process, giving unpredictable result","Autorisatie onbekend: Een technisch probleem is opgetreden tijdens het autorisatie proces, met onbekende gevolgen."
"Background Color of Ogone Template","Achtergrond kleur van het Ogone Sjabloon"
"Button Background Color of the Ogone Template","Knop Achtergrond Kleur op het Ogone Sjabloon"
"Button Text Color of the Ogone Template","Knop Tekst Kleur op het Ogone Sjabloon"
"Can\'t detect Ogone payment action","Kan Ogone Betalingsactie niet vinden"
"Cancelled Ogone","Ogone Geannuleerd"
"Debug","Debug"
"Declined Ogone","Ogone Afgewezen"
"Declined Order on Ogone side.","Afgewezen bestellingen vanaf Ogone's kant."
"Direct Sale","Rechtstreekse Verkoop"
"E.g: ""Verdana"".","Bv.: ""Verdana""."
"E.g: ""black"".","Bv.: ""Zwart""."
"E.g: ""white"".","Bv.: ""Wit""."
"Enabled","Aan"
"Enabling this feature needs adjusting ""Technical information > Global security parameters"" on merchant administration.","Wanneer u deze functie inschakelt moet u ""Technische informatie > Globale Veiligheidsparameters"" naar handelaars administratie aanpassen."
"Exception not defined","Uitzondering niet gedefinieerd"
"Font Family of the Ogone Template","Lettertype in het Ogone Sjabloon"
"For production, replace ""test"" with ""prod"". Example: https://secure.ogone.com/ncol/prod/orderstandard.asp","Voor productie moet u ""test"" vervangen met ""prod"". Bijvoorbeeld: https://secure.ogone.com/ncol/prod/orderstandard.asp"
"Gateway URL","Gateway URL"
"Hash All Parameters","Deel Alle Parameters Op"
"Hashing Algorithm","Deel het Algoritme Op"
"Horizontally grouped logo with group name on left","Horizontaal gegroepeerd logo met de groep naam links"
"Horizontally grouped logo with no group name","Horizontaal gegroepeerd logo zonder groepsnaam"
"If you choose ""No Operation"", Ogone will use default payment procedure setup in Ogone configuration.","Wanneer uw ""Geen Operatie"" kiest, zal Ogone uw standaard betalingsprocedure vanuit de Ogone configuratie gebruiken."
"If you choose ""Ogone Template"", you will need to fill in all the following fields.","Wanneer uw ""Ogone Sjabloon"" kiest; zult u de volgende velden moeten invullen."
"Layout of Payment Methods","Lay-out van de Betalingsmethodes"
"Logo of the Ogone Template","Logo van de Ogone Sjabloon"
"Magento","Magento"
"Ogone","Ogone"
"Ogone Default Operation","Ogone Standaard Operatie"
"Order can\'t save","Bestelling kan niet opgeslagen worden"
"PSPID","PSP ID"
"Payment Action","Betaling"
"Payment Template","Betaling Sjabloon"
"Payment transaction has been declined.","Betalingstransactie wordt niet geaccepteerd."
"Payment uncertain: A technical problem arose during payment process, giving unpredictable result","Betalingsonzekerheid: Een technisch probleem verscheen tijdens het betalingsprocess met onbekende resultaten"
"Pending Ogone","In afwachting van Ogone"
"Please, wait a moment. This page will transfer your data to Ogone payment gateway in a few seconds.","Even geduld a.u.b., deze pagina zal uw binnen enkele seconden naar de Ogone betalingspoort leiden."
"Processed Ogone Payment","Verwerkte Ogone Betalingen"
"Processed by Ogone","Verwerkt door Ogone"
"Processing Ogone Payment","Verwerking van de Ogone Betaling"
"SHA-IN Pass Phrase","SHA-IN Wachtwoord Zin"
"SHA-OUT Pass Phrase","SHA-OUT Wachtwoord Zin"
"Start Ogone Processing","Begin Ogone Verwerking"
"Table Background Color of the Ogone Template","Tabel Achtergrond Kleur op het Ogone Sjabloon"
"Table Text Color of the Ogone Template","Tabel Tekst Kleur op het Ogone Sjabloon"
"Text Color of the Ogone Template","Tekst Kleur op het Ogone Sjabloon"
"The hash is not valid","De hash is niet valide"
"The order cannot be canceled for a system reason.","De bestelling kan vanwege een systeemreden niet worden geannuleerd."
"The order cannot be saved for a system reason.","De bestelling kan vanwege een systeemreden niet worden opgeslagen."
"The order cannot be saved.","De bestelling kan niet worden opgeslagen."
"The order is not valid","De bestelling is niet geldig"
"The order was canceled on ogone side.","De bestelling is geannuleerd."
"Title","Titel"
"Title of the Ogone Template","Titel van de Ogone Sjabloon"
"To hash <strong>all parameters</strong>, select the following options in the ""Global security parameters"" fieldset: <ul><li>Each parameter followed by the pass phrase.</li><li>""Hash algorithm"" same as ""Hashing Algorithm"" below</li><li>UTF-8</li></ul>","Om alle  <strong>parameters te hashen</strong>, selecteer de volgende opties in de ""Global security parameters"" fieldset: <ul><li>Elke parameter gevolgd door de volgende zin..</li><li>""Hash algoritme"" zoals ""Hashing Algoritme"" hieronder</li><li>UTF-8</li></ul>"
"URL/filename of the logo.<br />The URL must be absolute and stored on a secure server.","URL/bestandsnaam van het logo.<br />De URL moet absoluut zijn en opgeslagen op een veilige server."
"Unknown exception","Onbekende uitzondering"
"Use in posting data from Magento to Ogone.<br/>Use in data checking by Ogone before the payment.","Gebruik in postbestanden van Magento naar Ogone..<br/>Gebruik in nakijken van bestanden door Ogone voor betaling."
"Use in posting data from Ogone to Magento.<br/>Use in feedback data checking by Magento.","Gebruik in postbestanden van Ogone naar Magento.<br/>Gebruik in nakijken van bestanden door Magento."
"Verical list","Vericale lijst"
"Waiting Authorization","Wachten op Authorisatie"
"You can arrange the layout/list of the payment methods on Ogone payment page.","U kunt de layout/lijst van de betaalmethoden op de Ogone betaalpagina rangschikken."
"You will be redirected to Ogone website when you place an order.","U wordt teruggeleid naar de Ogone website als u een bestelling plaatst."
