"Add","Toevoegen"
"Add gift message for shopping cart","Voeg persoonlijke boodschap toe voor winkelmand"
"Add gift messages for quote item of shopping cart","Voeg persoonlijke boodschap toe voor bepaald artikel in winkelmand"
"Add gift messages to products of shopping cart","Voeg persoonlijke boodschappen toe aan producten in winkelmand"
"Add gift options","Voeg cadeauopties toe"
"Add gift options for Individual Items","Voeg cadeauopties toe voor afzonderlijke artikelen"
"Add gift options for the Entire Order","Voeg cadeauopties toe voor gehele bestelling"
"Add gift options.","Cadeauopties toevoegen."
"Allow Gift Messages for Order Items","Cadeauberichten toestaan voor artikelen in bestelling"
"Allow Gift Messages on Order Level","Cadeauberichten toestaan op niveau van bestelling"
"An error occurred while saving the gift message.","Fout bij opslaan van cadeaubericht."
"Are you sure?","Weet u het zeker?"
"Cancel","Annuleren"
"Do you have any gift items in your order?","Zijn er cadeaus bij uw bestelling?"
"Edit","Bewerken"
"From","Van"
"Gift Message","Cadeauboodschap"
"Gift Message API","Persoonlijke boodschap API"
"Gift Options","Cadeauopties"
"Gift Options for","Cadeauopties voor"
"Gift Options for Individual Items","Cadeauopties voor afzonderlijke artikelen"
"Gift Options for the Entire Order.","Cadeauopties voor de hele bestelling."
"Gift Options for this address.","Cadeauopties voor dit adres."
"Item %d of %d","Artikel %d van %d"
"Message","Boodschap"
"No","Nee"
"OK","OK"
"Save Gift Message","Cadeaubericht opslaan"
"The gift message has been removed","Het cadeaubericht is verwijderd"
"The gift message has been saved","Het cadeaubericht is opgeslagen"
"The gift message has been saved.","Het cadeaubericht is opgeslagen."
"To","Naar"
"Unknown entity type","Onbekend entiteit type"
"Use config","Gebruik config"
"Yes","Ja"
"You can leave this box blank if you do not wish to add a gift message for the item.","Je kunt deze ruimte leeglaten als je geen cadeaubericht wilt toevoegen voor dit artikel."
"You can leave this box blank if you do not wish to add a gift message for this address.","Je kunt deze ruimte leeglaten als je geen cadeaubericht wilt toevoegen voor dit adres."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Je kunt deze ruimte leeglaten als je voor de hele bestelling geen cadeaubericht wilt toevoegen."
