"Active","Actief"
"Add Attribute Mapping","Attribuutmapping toevoegen"
"Add New Attribute","Nieuwe attribuut toevoegen"
"Add to Google Base","Aan Google Base toevoegen"
"Are you sure?","Weet u het zeker?"
"Attribute","Attribuut"
"Attribute Set","Attributenset"
"Attribute Set and Item Type","Attributenset en artikeltype"
"Attributes","Attributen"
"Attributes Mapping","Attributenmapping"
"Attributes Set","Attributenset"
"AuthSub","AuthSub"
"Available Products","Beschikbare Producten"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Basis munteenheid moet op %s gezet worden voor %s in systeemconfiguratie. Anders zullen prijzen van artikelen niet correct zijn in Google Base."
"Cannot update Google Base Item for Store '%s'","Kan Google Base Item niet bijwerken voor Winkel '%s'"
"Captcha confirmation error: %s","Captcha bevestigingsfout: %s"
"Captcha has been confirmed.","Captcha is bevestigd."
"Catalog","Catalogus"
"Clicks","Kliks"
"ClientLogin","KlantLogin"
"Confirm","Bevestigen"
"Current Mapping will be reloaded. Continue?","Huidige mapping zal opnieuw geladen worden. Doorgaan?"
"Custom attribute, no mapping","Aangepast attribuut, geen mapping"
"Delete","Verwijderen"
"Delete Mapping","Mapping verwijderen"
"Edit Item Type","Artikeltype bewerken"
"Edit Item Type ""%s""","Bewerk artikeltype ""%s"""
"Error: %s","Fout: %s"
"Expires","Verloopt"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Google Base attribuut"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base artikeltype"
"Google Base Item type","Google Base artikeltype"
"Google Base Items","Google Base artikelen"
"Google base","Google base"
"Hide","Verbergen"
"Hosted","Gehost"
"Hosted or Google","Gehost of Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Ongeldig productmodel voor Google Base artikel"
"Item Type was deleted","Artikeltype is verwijderd"
"Item Types","Artikeltype"
"Item model is not specified to delete Google Base entry.","Artikelmodel  om uit Google Base te verwijderen is niet gespecificeerd."
"Items","Artikelen"
"Manage Attribute Mapping","Attribuutkaart beheren"
"Manage Attributes","Attributen beheren"
"Manage Items","Artikelen beheren"
"New Item Type","Nieuw Item Type"
"New ItemType","Nieuw ArtikelType"
"No","Nee"
"No items were deleted from Google Base","Er zijn geen items verwijderd uit Google Base"
"No items were published","Er zijn geen items gepubliceerd"
"No items were saved as inactive items","Er zijn geen items opgeslagen als inactieve items"
"No products were added to Google Base","Er zijn geen producten toegevoegd aan Google Base"
"Object model is not specified to save Google Base entry.","Object model is niet gespecificeerd om Google Base ingang op te slaan."
"Please, select Attribute Set and Google Item Type to load attributes","Selecteer a.u.b. Attribute Set and Google Item Type om attributen te laden"
"Product Name","Productnaam"
"Publish","Publiceren"
"Published","Gepubliceerd"
"Remove","Verwijderen"
"Save Mapping","Sla Mapping op"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Sessie verlopen tijdens export. Bekijk geëxporteerde producten en herhaal zonodig het proces."
"Synchronize","Synchroniseer"
"Target Country","Target Land"
"The item type has been saved.","Het item type is opgeslagen."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Deze actie update item statistieken en verwijderd de items die niet beschikbaar zijn in Google Base. WIlt u verder gaan?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Totaal van %d item(s) is verwijderd; totaal van %d item(s) is geüpdatet."
"Total of %d items(s) have been published.","Totaal van %d item(s) is gepubliceerd."
"Total of %d items(s) have been removed from Google Base.","Totaal van %d item(s) is verwijderd van Google Base."
"Total of %d items(s) have been saved as inactive items.","Totaal van %d item(s) is opgeslagen als inactief item."
"Total of %d product(s) have been added to Google Base.","Totaal van %d item(s) is toegevoegd aan Google Base."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Niet mogelijk met Google Base te verbinden, bekijk Account instellingen in configuratie."
"Unable to select a Store View.","Niet mogelijk een Store View te selecteren."
"View Available Products","Bekijk Beschikbare Producten"
"View Item in Google Base","Bekijk artikel in Google Base"
"Yes","Ja"
