"%s codes deleted","%s codes verwijderd"
"%s codes imported","%s codes geïmporteerd"
"%s codes not imported","%s codes niet geïmporteerd"
"%s product in feed.","%s product in feed."
"%s product not in feed.","%s product niet in feed."
"Add new","Nieuw toevoegen"
"Attrib. Set Name","Stel naam attrib. in"
"Attributes map","Kaart attributen"
"Cron Frequency","Cron frequentie"
"Cron Hour","Cron uur"
"Delete","Verwijderen"
"Eav code","Eav code"
"FTP Password","FTP wachtwoord"
"FTP Path","FTP pad"
"FTP Server","FTP server"
"FTP Settings","FTP instellingen"
"FTP User","FTP gebruiker"
"FTP: Can't delete files","FTP: kan bestanden niet verwijderen"
"Feed","Feed"
"Feed code","Feed code"
"ID","ID"
"Import","Import"
"Import attribute map","Importeer attributenkaart"
"Import code","Import code"
"In Feed","In Feed"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","Om toegang tot uw FTP account informatie te krijgen, moet u eerst uw winkel registreren en verifiëren in TheFind Merchant Center. Klik <a href=""https://merchant.thefind.com/mc/claim.fhtml"">hier</a> om te beginnen."
"Is imported","Is geïmporteerd"
"Item params","Artikel parameters"
"Manage attributes","Attributen beheren"
"Manage items","Artikelen beheren"
"Not import","Niet import"
"Not publish","Niet publiceren"
"Price","Prijs"
"Product Name","Productnaam"
"Product import","Product import"
"Publish","Publiceren"
"SKU","SKU"
"Settings","Instellingen"
"The Find","The Find"
"TheFind Feed Filename","The Find feed bestandsnaam"
"TheFind feed","TheFind feed"
"Type","Type"
"Unable to process an import. ","Kan import niet verwerken."
"Update TheFind Item when Product is Updated","Update TheFind artikel wanneer Product is bijgewerkt"
