"-- Please Select --","-- Selecteer alstublieft --"
"Account Registration","Account registratie"
"All fields of script types have to be filled.","Alle velden van scripttypes moeten gevuld worden."
"Attributes","Attributen"
"Category View Optimization","Categorie aanblik optimalisatie"
"Control Script","Controlescript"
"Conversion Page","Conversiepagina"
"Conversion Page URL","URL conversiepagina"
"Conversion Script","Conversiescript"
"Enable","Maak bruikbaar"
"Google Optimizer Scripts","Google optimaliseerder scripts"
"Google Website Optimizer","Google website optimaliseerder"
"Install Scripts","Installatiescripts"
"Multi Address Checkout","Afrekening met meerdere adressen"
"One Page Checkout","Een-pagina afrekenen"
"Order Success (Multi Address Checkout)","Succesvolle bestelling (afrekening met meerdere adressen)"
"Order Success (One Page Checkout)","Succesvolle bestelling (een pagina afrekening)"
"Original Page","Originele pagina"
"Other","Andere"
"Page Type","Paginatype"
"Page View Optimization","Optimalisatie pagina-aanblik"
"Please copy and paste this value to experiment edit form","Kopieer en plak alstublieft deze waarde naar het formulier om het experiment te bewerken"
"Please copy and paste this value to experiment edit form.","Kopieer en plak alstublieft deze waarde naar het formulier om het experiment te bewerken."
"Please select store view to see the URL","Selecteer alstublieft de winkelaanblik om de URL te zien"
"Please select store view to see the URL.","Selecteer alstublieft de winkelaanblik om de URL te zien."
"Product View Optimization","Optimalisatie productaanblik"
"Scripts Install URL","Scripts installatie URL"
"Shopping Cart","Winkelmandje"
"The limit is 8 attributes only.","De limiet is 8 attributen."
"Tracking Script","Tracking script"
"Use Default","Gebruik Standaard"
"Use Default Values","Gebruik standaardwaarden"
"Variant Page","Variant pagina"
