"Action","Actie"
"Add Sitemap","Sitekaart toevoegen"
"Always","Altijd"
"CMS Pages Options","CMS pagina's opties"
"Categories Options","Categorieopties"
"Daily","Dagelijks"
"Edit Sitemap","Sitekaart bewerken"
"Enabled","Aan"
"Error Email Recipient","Foutmelding Email Ontvanger"
"Error Email Sender","Foutmelding Email Verstuurder"
"Error Email Template","Foutmelding Email Template"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Bestand ""%s"" kan niet worden opgeslagen. Zorg ervoor dat ""%s"" directory beschrijfbaar is door webserver."
"Filename","Bestandsnaam"
"Frequency","Frequentie"
"Generate","Aanmaken"
"Generation Settings","Aanmaakinstellingen"
"Google Sitemap","Google sitekaart"
"Hourly","Elk uur"
"ID","ID"
"Last Time Generated","Laatste maal aangemaakt"
"Link for Google","Link voor Google"
"Monthly","Maandelijks"
"Never","Nooit"
"New Sitemap","Nieuwe Sitemap"
"Path","Pad"
"Please create the specified folder ""%s"" before saving the sitemap.","Maak de specifieke map ""%s"" voor het opslaan van de sitemap."
"Please define correct path","Definieer a.u.b. correct pad"
"Please make sure that ""%s"" is writable by web-server.","Zorg ervoor dat ""%s"" beschrijfbaar is door webserver."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Gebruik a.u.b. alleen letters (a-z of A-Z), nummers (0-9) or underscore (_) in de filenaam. Spaties or andere karakters zijn niet toegestaan."
"Priority","Prioriteit"
"Products Options","Product Opties"
"Sitemap","Sitemap"
"Sitemap generate Warnings","Sitemap genereert Waarschuwing"
"Start Time","Begintijd"
"Store View","Aanblik winkel"
"The priority must be between 0 and 1.","De prioriteit moet tussen 0 en 1 zijn."
"The sitemap ""%s"" has been generated.","De sitemap ""%s"" is gegenereerd."
"The sitemap has been deleted.","De sitemap is verwijderd."
"The sitemap has been saved.","De sitemap is opgeslagen."
"This sitemap no longer exists.","De sitemap bestaat niet langer."
"Unable to find a sitemap to delete.","Kan geen sitemap vinden om te verwijderen."
"Unable to find a sitemap to generate.","Kan geen sitemap vinden om te genereren."
"Unable to generate the sitemap.","Kan sitemap niet genereren."
"Valid values range: from 0.0 to 1.0.","Toegestane waardes reiken: van 0.0 tot 1.0."
"Weekly","Wekelijks"
"Yearly","Jaarlijks"
