"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Winkelwagen Prijs Regels gebaseerd op ""%s"" attribuut zijn uitgeschakeld."
"%s Coupon(s) have been generated","%s Coupon(s) zijn gegenereerd"
"Actions","Acties"
"Active","actief"
"Add New Rule","voeg nieuwe regel toe"
"Alphabetical","Alfabetisch"
"Alphanumeric","Alfanumeriek"
"An error occurred while generating coupons. Please review the log and try again.","Er is een fout opgetreden bij het genereren van coupons. Lees het log en probeer het opnieuw."
"Apply","Aanbrengen"
"Apply To","Aanbrengen op"
"Apply the rule only if the following conditions are met (leave blank for all products)","Breng de regel aan, doch enkel wanneer aan de volgende voorwaarden zijn voldaan (laat leeg voor alle producten)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Breng de regel aan op winkelwagenproducten die voldoen aan de volgende voorwaarden (laat leeg voor alle producten)"
"Apply the rule to cart items matching the following conditions","Breng de regel aan op winkelwagenproducten die aan de volgende voorwaarden voldoen"
"Apply to Shipping Amount","Breng aan op verzendhoeveelheid"
"Are you sure you want to delete the selected coupon(s)?","Weet u zeker dat u de geselecteerde coupon(s) wilt verwijderen?"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Auto Gegenereerd Specifieke Coupon Codes"
"Buy X get Y free (discount amount is Y)","Koop X, krijg Y gratis (kortingsbedrag is Y)"
"By Fixed value","Bij gefixeerde waarde"
"By Percentage","Bij percentage"
"Can\'t acquire coupon.","Kan geen kortingsbon verkrijgen"
"Cart Attribute","Winkelwagen attribuut"
"Catalog","Catalogus"
"Code Format","Code Formaat"
"Code Length","Code Lengte"
"Code Prefix","Code Voorvoegsel"
"Code Suffix","Code Achtervoegsel"
"Conditions","Voorwaarden"
"Conditions combination","Voorwaarden combinatie"
"Coupon","Kortingsbon"
"Coupon Code","Kortingsboncode"
"Coupon Qty","Coupon Hoeveelheid"
"Coupon with the same code","Coupon met dezelfde code"
"Coupons Information","Coupons Informatie"
"Created On","Gemaakt Op"
"Customer Groups","Klantgroepen"
"Dash Every X Characters","Dash Alle X-tekens"
"Date Expire","Vervaldatum"
"Date Start","Startdatum"
"Default Label","Standaardlabel"
"Default Rule Label for All Store Views","Standaard regel label voor alle winkelweergaven"
"Description","Omschrijving"
"Discount Amount","Kortingsbedrag"
"Discount Qty Step (Buy X)","Kortingshoeveelheid stap (koop X)"
"Edit Rule","Bewerk regel"
"Edit Rule '%s'","Bewerk regel '%s'"
"Excluding prefix, suffix and separators.","Exclusief voorvoegsels, achtervoegsels en afscheiders."
"FOUND","GEVONDEN"
"Fixed amount discount","Gefixeerd bedrag korting"
"Fixed amount discount for whole cart","Gefixeerd bedrag korting voor de hele winkelwagen"
"For matching items only","Alleen voor passende producten"
"For shipment with matching items","Voor verzending met passende producten"
"Free Shipping","Gratis verzending"
"From Date","Vanaf datum"
"General Information","Algemene informatie"
"Generate","Aanmaken"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Als %s %s %s voor een subselectie van producten in de winkelwagen overeenkomen met %s van deze condities:"
"If an item is %s in the cart with %s of these conditions true:","Als een product %s is in de winkelwagen met %s van deze ware condities:"
"If empty no separation.","Indien leeg geen scheiding."
"If you select and save the rule you will be able to generate multiple coupon codes.","Als u de regel selecteert en opslaat kunt u meerdere coupon codes genereren."
"Inactive","Inactief"
"Item totals are not set for rule.","Totalen voor producten zijn niet ingesteld voor regel."
"Labels","Labels"
"Manage Coupon Codes","Beheer Coupon Codes"
"Maximum Qty Discount is Applied To","Maximale hoeveelheid korting is ingesteld op"
"NOT FOUND","NIET GEVONDEN"
"NOT LOGGED IN","NIET INGELOGD"
"New Rule","Nieuwe regel"
"No","Nee"
"No Coupon","Geen kortingsbon"
"Not valid data provided","Niet geldig gegevens opgegeven"
"Number of Uses","Aantal gebruiken"
"Numeric","Numerieke"
"Payment Method","Betalingsmethode"
"Percent of product price discount","Procent van productprijs als korting"
"Period","Periode"
"Price in cart","Prijs in winkelwagen"
"Priority","Prioriteit"
"Product attribute combination","Product attributen combinatie"
"Products subselection","Producten subselectie"
"Promotions","Promoties"
"Public In RSS Feed","Publiekelijk in RSS Feed"
"Quantity in cart","Hoeveelheid in winkelwagen"
"Row total in cart","Rij totalen in winkelwagen"
"Rule Information","Regel informatie"
"Rule Name","Regel naam"
"Rule is not defined","Regel is niet gedefinieerd"
"Sales Discount Amount","Verkoop kortingshoeveelheid"
"Sales Subtotal Amount","Verkoop subtotaal hoeveelheid"
"Sales Total Amount","Verkoop totalen hoeveelheid"
"Save and Continue Edit","Bewaar en Ga Door met Bewerking"
"Shipping Country","Verzending land"
"Shipping Method","Bezorgmethode"
"Shipping Postcode","Verzending postcode"
"Shipping Region","Verzending regio"
"Shipping State/Province","Verzending provincie/staat"
"Shopping Cart Price Rule","Winkelmandje prijsregel"
"Shopping Cart Price Rules","Winkelmandje prijsregels"
"Special Price","Speciale prijs"
"Specific Coupon","Specifieke kortingsbon"
"Status","Status"
"Stop Further Rules Processing","Stop verdere verwerking van regels"
"Store View Specific Labels","Winkel bekijk specifieke labels"
"Subtotal","Subtotaal"
"Subtotal Amount","Subtotaal bedrag"
"The rule has been deleted.","De regel is verwijderd"
"The rule has been saved.","De regel is opgeslagen."
"This rule no longer exists.","Deze regel bestaat niet langer"
"Times Used","Tijd Gebruikt"
"To Date","Naar datum"
"To Fixed Value","Naar gefixeerde waarde"
"To Percentage","Naar percentage"
"Total","Totaal"
"Total Amount","Totaalbedrag"
"Total Items Quantity","Totale hoeveelheid producten"
"Total Weight","Totaalgewicht"
"Unable to create requested Coupon Qty. Please check settings and try again.","Niet in staat om het gevraagde Coupon Aantal te creëren. Controleer de instellingen en probeer het opnieuw."
"Unable to find a rule to delete.","Niet in staat om een regel te vinden om te verwijderen"
"Update prices using the following information","Update prijzen, gebruikmakende van de volgende informatie"
"Update product's %s %s: %s","Update producten %s %s: %s"
"Update the Product","Vernieuw het product"
"Use Auto Generation","Gebruik de Automatische Generatie"
"Used","Gebruikt"
"Uses per Coupon","Aantal gebruiken per kortingsbon"
"Uses per Customer","Aantal gebruiken per klant"
"Website","Website"
"Websites","Websites"
"Wrong rule specified.","Verkeerde regel gespecificeerd"
"Yes","ja"
"total amount","totaal bedrag"
"total quantity","totaal aantal"
