"* Select shipping method","* Versandart auswählen"
"2Day","2Day"
"2nd Day Air","Flupost am zweiten Tag"
"2nd Day Air AM","Morgenstundenflugpost am zweiten Tag"
"3 Day Select","3 Day Select"
"<br />Warning: <strong>%s</strong><br />","<br />Warnung: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Warnung!</strong> Diese Einstellung deaktiviert den vom Verkäufer kalkulierten Versand. Mit dieser Einstellung ignoriert die Google-Programmierschnittstelle jeglichen Versuch, Versandpreise zu beeinflussen."
"A virtual item to reflect the discount total","Ein virtueller Artikel, der den Gesamtrabatt darstellt"
"A virtual item to reflect the tax total","Ein virtueller Artikel, der den Steuersatz darstellt"
"AVS Status: %s","AVS Status: %s"
"Add","Hinzufügen"
"Add Shipping Method","Versandart hinzufügen"
"Allowed Methods","Erlaubte Mittel"
"Amount: %s","Betrag: %s"
"Auto-generated from GoogleCheckout Charge","Automatisch generiert aus GoogleCheckout Charge"
"Buyer Account Age: %s days","Alter des Käuferkontos: %s Tage"
"CC Partial: xxxx-%s","CC Teilsumme: xxxx-%s"
"CID Status: %s","CIS Status: %s"
"Carrier Calculated Methods","Frachtführer berechnete Methoden"
"Cart Discount","Warenkorb Rabatt"
"Checkout Image Style","Checkout Bild Stil"
"Commercial","Kommerziell"
"Continue Shopping URL","Einkauf fortsetzen URL"
"Credit memo has been created automatically","Gutschriftenempfänger wurde automatisch erstellt"
"Debug","Debug"
"Default Package Height (in)","Standardhöhe der Verpackung (in Inch)"
"Default Package Length (in)","Standardlänge der Verpackung (in Inch)"
"Default Package Width (in)","Standardbreite der Verpackung (in Inch)"
"Default Price for Methods","Standardpreis für Methoden"
"Default price:","Standardpreis:"
"Delivery Address Category","Lieferanschrift Kategorie"
"Delivery Schedule","Lieferplan"
"Description-based delivery","Beschreibungsbasierte Zustellung"
"Disable Default Tax Tables","Standard-Steuerverzeichnisse deaktivieren"
"Discount Tax","Steuerermäßigung"
"Eligible for Protection: %s","Schutzwürdig: %s"
"Email delivery","E-Mail-Zustellung"
"Enable","Aktivieren"
"Enable Carrier Calculated","""Frachführer berechnet"" aktivieren"
"Enable Digital Delivery","Digitale Lieferung aktivieren"
"Enable Flat Rate","Flat-Rate aktivieren"
"Enable Merchant Calculated","""Händler berechnet"" aktivieren"
"Enable this if your checkout request is too big and being cut off.","Aktivieren, falls Ihre Checkout-Anfrage zu groß ist und unterbrochen wird."
"Expiration: %s","Ende: %s"
"Express Mail","Express-E-Mail"
"Express Saver","Express Saver"
"FedEx","FedEx"
"Financial: %s -> %s","Finanziell: %s -> %s"
"First Overnight","First über Nacht"
"Free Shipping","Versandkostenfrei"
"Fulfillment: %s -> %s","Erfüllt: %s -> %s"
"Google API","Google-API"
"Google Authorization:","Google Autorisierung:"
"Google Buyer ID: %s","Google Käufer ID: %s"
"Google Charge:","Google Gebühr:"
"Google Chargeback:","Google-Rückbuchung:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Versand - Frachtführer berechnet"
"Google Checkout Shipping - Digital Delivery","Google Checkout Versand - Digitale Lieferung"
"Google Checkout Shipping - Flat Rate","Google Checkout Versand - Flat-Rate"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Versand - Händler berechnet"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Google Bestellnummer: %s"
"Google Order Status Change:","Google Bestellung Statusänderung:"
"Google Refund:","Google Erstattung:"
"Google Risk Information:","Google Risiko-Information:"
"Ground","Boden"
"Hide Cart Contents","Warenkorbinhalte verbergen"
"Home Delivery","Heimzustellung"
"IP Address: %s","IP-Addresse: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Sofern aktiviert sind Einkaufswageninhalte nach dem Betätigen der Google Checkout-Schaltfläche im Einkaufswagen nicht mehr sichtbar und werden nach dem Betätigen des ""Einkaufswagen bearbeiten""-Links wieder angezeigt."
"Inches","Zoll"
"Invoice Auto-Created: %s","Rechnung automatisch erstellt: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Ist der Käufer bereit, Marketing-E-Mails zu empfangen: %s"
