Remove,Entfernen
Close,Schließen
Cancel,Abbrechen
Back,Zurück
"Add Products","Produkte hinzufügen"
"Update Items and Qty's","Artikel und Mengen aktualisieren"
Product,Produkt
Price,Preis
Quantity,Quantity
Products,Produkte
ID,ID
SKU,Artikelposition
Apply,Anwenden
Configure,Konfigurieren
"Shopping Cart",Einkaufswagen
"Quote item id is not received.","Die angegebene Artikelnummer wurde nicht empfangen."
"Quote item is not loaded.","Der bestellte Artikel wird nicht geladen."
No,Nein
"Apply Coupon Code","Coupon Code anwenden"
"Remove Coupon Code","Gutscheincode entfernen"
Qty,Anzahl
"Row Subtotal",Zeilengesamtsumme
Action,Aktion
"No ordered items","Keine bestellten Artikel"
"Total %1 product(s)","Total %1 product(s)"
Subtotal:,Zwischensumme:
"Excl. Tax","ohne Steuern"
Total,Gesamt
"Incl. Tax","Steuer inkludieren"
"Total incl. tax","Total incl. tax"
"Move to Wishlist","Auf Wunschzettel schreiben"
Edit,Bearbeiten
Item,Objekt
"Add to Cart","Zum Warenkorb hinzufügen"
Sku,SKU
"Order saving error: %1","Order saving error: %1"
"You created the order.","You created the order."
Orders,Aufträge
Customer,Kunde
Guest,Gast
"Account Information",Kontoinformationen
"First Name",Kundenname
"Last Name","Nachname des Kunden"
Email,"Kunden Email"
Refresh,Aktualisieren
Enable,Enable
General,General
Yes,Ja
Name,Name
Status,Status
Enabled,Enabled
Title,Titel
Home,Home
Any,Any
From,Von
To,An
" [deleted]"," [deleted]"
Dashboard,Dashboard
title,title
Specified,Specified
Order,Bestell-Nr.
"Order #%1","Order #%1"
"Shipping Amount",Lieferungsbetrag
"Tax Amount",Steuerbetrag
View,Ansicht
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
N/A,"Nicht verfügbar"
Ordered,Bestellt
Invoiced,"In Rechnung gestellt."
Shipped,Versandt
Refunded,Rückerstattet
Canceled,Storniert
From:,Von:
To:,An:
"Gift Message",Grußnachricht
Message:,Nachricht:
"Tier Pricing",Preisebene
"Go to Home Page","Go to Home Page"
"Customer Group",Kundengruppe
Closed,Geschlossen
"Product Name",Produktname
"Discount Amount",Rabattbetrag
Country,Land
State/Province,Staat/Bezirk
"Payment Information",Profilinformation
"Shipping Information",Lieferungsinformation
"Shipping Method",Liefermethode
"Clear Shopping Cart","Einkaufswagen leeren"
City,Stadt
"Zip/Postal Code",Postleitzahl
"Email Address",E-Mail-Adresse
Company,Firma
Address,Address
"Street Address","Anschrift (Straße, Hausnummer, PLZ)"
Telephone,Telefon
"Save in address book","Speichern im Adressbuch"
Continue,Weiter
"Order #","Order #"
"No Payment Methods","Keine Zahlungsmethoden"
"Billing Address",Rechnungsadresse
"Shipping Address",Lieferungsadresse
"Payment Method","Name der Bezahlungsmethode"
Sales,Verkäufe
Created,"Erstellte At"
Select,Auswählen
Comment,Kommentar
%1,%1
Date,Datum
"Add New Address","Neue Adresse hinzufügen"
"Purchase Date","Purchase Date"
"Bill-to Name","Rechnung auf Namen"
"Ship-to Name","Lieferung auf Namen"
"Order Total","Gesamtsumme Bestellung"
"Purchase Point","Erworben von (Geschäft)"
"Recent Orders","Kürzlich aufgegebene Bestellungen"
Notified,Benachrichtigt
"Notify Customer by Email","Kunde per E-Mail benachrichtigen"
Billing,Abrechnung
"Newsletter Subscription",Newsletter-Abonnement
"Order Status","Status des Auftrags"
"Wish List","Wish List"
Pending,Ausstehend
"View Order","Bestellung ansehen"
Amount,Summe
Message,Nachricht
Information,Information
"Gift Options",Geschenkoptionen
"If you don't want to leave a gift message for the entire order, leave this box blank.","If you don't want to leave a gift message for the entire order, leave this box blank."
New,Neu
"Custom Price",Kundenpreis
Processing,Bearbeitung
"Add To Order","Zur Bestellung hinzufügen"
"Configure and Add to Order","Konfigurieren und zum Auftrag hinzufügen"
"No items","Keine Artikel"
Authorization,Bewilligung
"Ordered amount of %1","Ordered amount of %1"
"Payment transactions disallow storing objects.","Zahlungen beinhalten nicht das Speichern der Objekte."
"Transaction ID",TransaktionsID
