Remove,Supprimer
Close,Fermer
Cancel,Annuler
Back,Retour
"Add Products","Ajouter produits"
"Update Items and Qty's","Mettre à jour les articles et quantités"
Product,Produit
Price,Prix
Quantity,Quantity
Products,Produits
ID,ID
SKU,UGK
Apply,Appliquer
Configure,Configurer
"Shopping Cart",Panier
"Quote item id is not received.","L'identifiant de l'article évalué n'a pas été reçu."
"Quote item is not loaded.","L'article évalué n'a pas été chargé."
No,Non
"Apply Coupon Code","Appliquer code coupon"
"Remove Coupon Code","Retirer le code de promotion"
Qty,Qté
"Row Subtotal","Sous-Total de la ligne"
Action,Action
"No ordered items","Aucun article commandé"
"Total %1 product(s)","Total %1 product(s)"
Subtotal:,"Sous-total :"
"Excl. Tax",H.T.
Total,Total
"Incl. Tax","Taxe comprise"
"Total incl. tax","Total incl. tax"
"Move to Wishlist","Déplacer dans la liste de souhaits"
Edit,Modifier
Item,Article
"Add to Cart","Ajouter au panier"
Sku,Sku
"Order saving error: %1","Order saving error: %1"
"You created the order.","You created the order."
Orders,Commandes
Customer,Client
Guest,Invité
"Account Information","Informations du compte"
"First Name",Prénom
"Last Name","Nom du client"
Email,"Email du client"
Refresh,Rafraîchir
Enable,Enable
General,General
Yes,oui
Name,Nom
Status,Statut
Enabled,Enabled
Title,Titre
Home,Home
Any,Any
From,De
To,A
" [deleted]"," [deleted]"
Dashboard,Dashboard
title,title
Specified,Specified
Order,Commande
"Order #%1","Order #%1"
"Shipping Amount","Montant de la livraison"
"Tax Amount","Montant de la taxe"
View,Vue
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
N/A,N/A
Ordered,Commandé
Invoiced,Facturé
Shipped,Envoyé
Refunded,Remboursé
Canceled,Annulé
From:,De:
To:,"A :"
"Gift Message","Message du cadeau"
Message:,Message:
"Tier Pricing","Catégorie de prix"
"Go to Home Page","Go to Home Page"
"Customer Group","Groupe du client"
Closed,"Est fermé"
"Product Name","Nom produit"
"Discount Amount","Montant de la remise"
Country,Pays
State/Province,"Etat / région"
"Payment Information","Information sur le profil"
"Shipping Information","Informations d'expédition"
"Shipping Method","Méthode d'expédition"
"Clear Shopping Cart","Vider le panier"
City,Ville
"Zip/Postal Code","Code postal"
"Email Address","Adresse email"
Company,Société
Address,Address
"Street Address","Adresse de la rue"
Telephone,Téléphone
"Save in address book","Sauvegarder dans le carnet d'adresses"
Continue,Continuer
"Order #","Order #"
"No Payment Methods","Aucun mode de paiement"
"Billing Address","Adresse de facturation"
"Shipping Address","Adresse d'expédition"
"Payment Method","Nom de la méthode de payement"
Sales,Ventes
Created,"Créé à"
Select,Sélectionner
Comment,Commenter
%1,%1
Date,Date
"Add New Address","Ajouter une nouvelle adresse"
"Purchase Date","Purchase Date"
"Bill-to Name","Facture au nom"
"Ship-to Name","Expédier à Nom"
"Order Total","Total Commande"
"Purchase Point","Acheté chez (Boutique)"
"Recent Orders","Commandes récentes"
Notified,Notifié
"Notify Customer by Email","Notifier le Client par Email"
Billing,Facturation
"Newsletter Subscription","Abonnement à la lettre d'information"
"Order Status","Statut de la Commande"
"Wish List","Wish List"
Pending,"En cours"
"View Order","Voir la commande"
Amount,Montant
Message,Message
Information,Renseignements
"Gift Options","Options de cadeau"
"If you don't want to leave a gift message for the entire order, leave this box blank.","If you don't want to leave a gift message for the entire order, leave this box blank."
New,Nouveau
"Custom Price","Personnaliser le prix"
Processing,Traitement
"Add To Order","Ajouter à la commande"
"Configure and Add to Order","Configurer et ajouter à la commande"
"No items","Aucun article"
Authorization,Autorisation
"Ordered amount of %1","Ordered amount of %1"
"Payment transactions disallow storing objects.","Les transactions de paiement ne permettent pas le stockage d'objets."
"Transaction ID","ID de la transaction"
"Order ID","Identifiant de la Commande"
Void,Annuler
"Created At","Created At"
"Payment Method:","Méthode de paiement :"
"Ship To","Expédier à"
"Invalid parent block for this block","Invalid parent block for this block"
"Grand Total (Base)","G. T. (Base)"
"Grand Total (Purchased)","Total général (acheté)"
"Customer Name","Customer Name"
"We couldn't update the payment.","We couldn't update the payment."
"Shopping Cart Price Rule","Shopping Cart Price Rule"
CSV,"CSV (valeurs séparées par des virgules)"
"Excel XML","Excel XML"
"Total Refunded","Total remboursé"
Paid,Payé
Coupons,Coupons
"Recently Viewed","Récemment vus"
"Recently Compared Products","Produits récemment comparés"
"Recently Viewed Products","Produits récemment vus"
Print,Imprimer
"Submit Comment","Envoyer commentaire"
Returned,Retourné
"Order Date","Date de la Commande"
"Order # ","Order # "
"Order Date: ","Date de la commande :"
"Comment Text","Commenter texte"
"Visible on Frontend","Visible sur le Frontend"
