Remove,weghalen
Close,Sluiten
Cancel,annuleren
Back,Terug
"Add Products","producten toevoegen"
"Update Items and Qty's","aanpassen items en hoeveelheden"
Product,Product
Price,prijs
Quantity,Quantity
Products,producten
ID,identiteit
SKU,Sku
Apply,Invullen
Configure,Configureren
"Shopping Cart",Winkelmandje
"Quote item id is not received.","I.D. van het quote product is niet ontvangen."
"Quote item is not loaded.","Quote product is niet geladen."
No,Nee
"Apply Coupon Code","Vul couponcode in"
"Remove Coupon Code","haal couponcode weg"
Qty,hoeveelheid
"Row Subtotal","rij van het subtotaal"
Action,actie
"No ordered items","geen bestelde items"
"Total %1 product(s)","Total %1 product(s)"
Subtotal:,subtotaal
"Excl. Tax","Excl. BTW"
Total,Totaal
"Incl. Tax","inclusief btw"
"Total incl. tax","Total incl. tax"
"Move to Wishlist","ga naar verlanglijstje"
Edit,Bewerk
Item,item
"Add to Cart","Voeg toe aan winkelwagen"
Sku,Sku
"Order saving error: %1","Order saving error: %1"
"You created the order.","You created the order."
Orders,Bestellingen
Customer,Klant
Guest,Gast
"Account Information","Account Gegevens"
"First Name","Klant Naam"
"Last Name","Klant Achternaam"
Email,"Klant e-mail"
Refresh,Ververs
Enable,Enable
General,General
Yes,Ja
Name,Naam
Status,status
Enabled,Enabled
Title,Titel
Home,Home
Any,Any
From,Van
To,Aan
" [deleted]"," [deleted]"
Dashboard,Dashboard
title,title
Specified,Specified
Order,Bestelling
"Order #%1","Order #%1"
"Shipping Amount",Verzendingskosten
"Tax Amount","BTW Bedrag"
View,Bekijk
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
N/A,n.v.t.
Ordered,Besteld
Invoiced,Gefactureerd.
Shipped,Verscheept
Refunded,Geretourneerd.
Canceled,Geannuleerd
From:,Van:
To:,Aan:
"Gift Message",Cadeauboodschap
Message:,Bericht:
"Tier Pricing","Niveau Prijsstelling"
"Go to Home Page","Go to Home Page"
"Customer Group",Klantgroep
Closed,Gesloten
"Product Name","Product Naam"
"Discount Amount",Kortingsbedrag
Country,Land
State/Province,Staat/Provincie
"Payment Information","Profiel informatie"
"Shipping Information",Verzendinformatie
"Shipping Method",Verzendingsmethode
"Clear Shopping Cart","Maak winkelwagen leeg"
City,Stad
"Zip/Postal Code",Zip/Postcode
"Email Address",e-mailadres
Company,Bedrijf
Address,Address
"Street Address","Adres straat"
Telephone,telefoon
"Save in address book","Opslaan in adresboek"
Continue,Doorgaan
"Order #","Order #"
"No Payment Methods","Geen betalingsmethoden"
"Billing Address",Factuuradres
"Shipping Address","Ontvangst Adres"
"Payment Method","Naam betalingsmethode"
Sales,Verkoop
Created,"Gemaakt op"
Select,Selecteren
Comment,Commentaar
%1,%1
Date,Datum
"Add New Address","Adres Toevoegen"
"Purchase Date","Purchase Date"
"Bill-to Name","Rekening op naam"
"Ship-to Name","Verzenden naar Naam"
"Order Total","Bestelling Totaalbedrag"
"Purchase Point","Gekocht van (winkel)"
"Recent Orders","Recente Bestellingen"
Notified,Ingelicht
"Notify Customer by Email","Licht klant in via e-mail"
Billing,Facturatie
"Newsletter Subscription","Nieuwsbrief abonnement"
"Order Status","Bestelling Status"
"Wish List","Wish List"
Pending,"In behandeling"
"View Order","Inzien Bestelling"
Amount,Aantal
Message,Boodschap
Information,Informatie
"Gift Options",Cadeauopties
"If you don't want to leave a gift message for the entire order, leave this box blank.","If you don't want to leave a gift message for the entire order, leave this box blank."
New,Nieuw
"Custom Price","Aangepaste prijs"
Processing,Verwerken
"Add To Order","Voeg toe aan bestelling"
"Configure and Add to Order","Pas uw Order aan of Voeg een Order toe"
"No items","Geen artikelen"
Authorization,Autorisatie
"Ordered amount of %1","Ordered amount of %1"
"Payment transactions disallow storing objects.","Betalingstransacties staan het opslaan van objecten niet toe."
"Transaction ID",Transactie-ID
"Order ID",Bestelnummer
Void,Leeg
"Created At","Created At"
"Payment Method:",Betaalmethode:
"Ship To","Verzenden naar"
"Invalid parent block for this block","Invalid parent block for this block"
"Grand Total (Base)","G.T. (basis)"
"Grand Total (Purchased)","Bruto totaal (gekocht)"
"Customer Name","Customer Name"
"We couldn't update the payment.","We couldn't update the payment."
"Shopping Cart Price Rule","Shopping Cart Price Rule"
CSV,CSV
"Excel XML","Excel XML"
"Total Refunded","Totaal Terugbetaalde"
Paid,Betaald
Coupons,Waardebonnen
"Recently Viewed","Recent bekeken"
"Recently Compared Products","Recent vergeleken producten"
"Recently Viewed Products","Recent bekeken producten"
Print,Print
"Submit Comment","Verwerken Opmerking"
Returned,Teruggestuurd
"Order Date","Datum van de Bestelling"
"Order # ","Order # "
"Order Date: ","Datum bestelling:"
"Comment Text","Opmerking Tekst"
"Visible on Frontend","Zichtbaar op Voorkant"
"Not Notified","Niet gemeld"
"Please select products.","Please select products."
Number,Aantal
"Order Date: %1","Order Date: %1"
"Shipping &amp; Handling","Verzending &amp; behandeling"
"Credit Memos",Creditnota's
Invoices,Facturen
"We cannot get the order instance.","We cannot get the order instance."
"Create New Order","Maak nieuwe bestelling aan"
"Save Order Address","Adres bestelling opslaan"
"Edit Order %1 %2 Address","Edit Order %1 %2 Address"
"Order Address Information","Bestelling Adres Informatie"
"Please correct the parent block for this block.","Please correct the parent block for this block."
"Submit Order","Verwerken Bestelling"
"Are you sure you want to cancel this order?","Weet u zeker dat u deze bestelling wilt annuleren?"
"Order Comment","Reactie op Bestelling"
"Please select a customer.","Please select a customer."
"Create New Customer","Maak nieuwe klant aan"
"Edit Order #%1","Edit Order #%1"
"Create New Order for %1 in %2","Create New Order for %1 in %2"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"Create New Order for %1","Create New Order for %1"
"Create New Order for New Customer","Maak nieuwe bestelling aan voor klant"
"Items Ordered","items besteld"
"This product is disabled.","This product is disabled."
"Buy %1 for price %2","Buy %1 for price %2"
"Item ordered qty","item bestelde hoeveelheid"
"%1 with %2 discount each","%1 with %2 discount each"
"%1 for %2","%1 for %2"
"* - Enter custom price including tax","* - Voer aangepaste prijs inclusief belasting in"
"* - Enter custom price excluding tax","* - Voer aangepaste prijs exclusief belasting in"
"This product does not have any configurable options","Dit product heeft geen configureerbare opties"
"Add Selected Product(s) to Order","Voeg geselecteerde product(en) toe aan bestelling"
"Update Changes","Bijwerken Veranderingen"
"Are you sure you want to delete all items from shopping cart?","Bent u er zeker van om alle producten te verwijderen uit de winkelwagen?"
"Products in Comparison List","Producten in vergelijking Lijst"
"Last Ordered Items","laatst bestelde items"
"Please select a store.","Please select a store."
"Order Totals",Subtotaal
"Shipping Incl. Tax (%1)","Shipping Incl. Tax (%1)"
"Shipping Excl. Tax (%1)","Shipping Excl. Tax (%1)"
"New Credit Memo for Invoice #%1","New Credit Memo for Invoice #%1"
"New Credit Memo for Order #%1","New Credit Memo for Order #%1"
"Refund Shipping (Incl. Tax)","Terugbetaling Verzendkosten (incl. BTW)"
"Refund Shipping (Excl. Tax)","Terugbetaling Verzendkosten (excl. BTW)"
