Remove,Remover
Close,Fechar
Cancel,Cancelar
Back,Voltar
"Add Products","Adicionar produtos"
"Update Items and Qty's","Atualizar Itens e Quantidades"
Product,Produto
Price,Preço
Quantity,Quantity
Products,Produtos
ID,Identidade
SKU,"Unidade de Manutenção de Estoque"
Apply,Solicitar
Configure,Configurar
"Shopping Cart","Carrinho de compras"
"Quote item id is not received.","A identidade do item cotado não foi recebida."
"Quote item is not loaded.","O item cotado não foi carregado."
No,Não
"Apply Coupon Code","Solicitar código do cupom"
"Remove Coupon Code","Remover código do cupom"
Qty,Quant.
"Row Subtotal","Coluna de subtotal"
Action,Ação
"No ordered items","Nenhum item solicitado"
"Total %1 product(s)","Total %1 product(s)"
Subtotal:,Subtotal:
"Excl. Tax","Excluir taxas"
Total,Total
"Incl. Tax","Incluir taxas"
"Total incl. tax","Total incl. tax"
"Move to Wishlist","Mover para lista de presentes"
Edit,Editar
Item,Item
"Add to Cart","Adicionar ao carrinho"
Sku,SKU
"Order saving error: %1","Order saving error: %1"
"You created the order.","You created the order."
Orders,Ordens
Customer,Cliente
Guest,Convidado
"Account Information","Informações da Conta"
"First Name","Nome do Cliente"
"Last Name","Último Nome do Cliente"
Email,"E-mail do Cliente"
Refresh,Atualizar
Enable,Enable
General,General
Yes,Sim
Name,Nome
Status,Status
Enabled,Enabled
Title,Título
Home,Home
Any,Any
From,De
To,Para
" [deleted]"," [deleted]"
Dashboard,Dashboard
title,title
Specified,Specified
Order,Pedido
"Order #%1","Order #%1"
"Shipping Amount","Valor do Frete"
"Tax Amount","Valor do Imposto"
View,Ver
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
N/A,Indisponível
Ordered,Solicitado
Invoiced,Faturado
Shipped,Enviado
Refunded,Reembolsado
Canceled,Cancelado
From:,De:
To:,Para:
"Gift Message","Mensagem de presente"
Message:,Mensagem:
"Tier Pricing","Preços por Nível"
"Go to Home Page","Go to Home Page"
"Customer Group","Grupo de Clientes"
Closed,"Está Fechado"
"Product Name","Nome do produto"
"Discount Amount","Quantia de Desconto"
Country,País
State/Province,Estado/Província
"Payment Information","Informação do Perfil"
"Shipping Information","Dados de Frete"
"Shipping Method","Tipo de Frete"
