"Action","Aktion"
"Add Sitemap","Sitemap hinzufügen"
"Always","Immer"
"CMS Pages Options","CMS Seitenoptionen"
"Categories Options","Kategorien Optionen"
"Daily","Täglich"
"Edit Sitemap","Sitemap bearbeiten"
"Enabled","Aktiviert"
"Error Email Recipient","Email-Empfänger bei auftretenden Fehlern"
"Error Email Sender","Email-Absender bei auftretenden Fehlern"
"Error Email Template","Email-Vorlage bei auftretenden Fehlern"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Datei ""%s"" kann nicht gespeichert werden. Bitte stellen Sie sicher, dass das Verzeichnis ""%s"" seitens des Webservers beschreibbar ist."
"Filename","Dateiname"
"Frequency","Frequenz"
"Generate","Generieren"
"Generation Settings","Generierungseinstellungen"
"Google Sitemap","Google Sitemap"
"Hourly","Stündlich"
"ID","ID"
"Last Time Generated","Zuletzt generiert"
"Link for Google","Link für Google"
"Monthly","Monatlich"
"Never","Niemals"
"New Sitemap","Neue Sitemap"
"Path","Pfad"
"Please create the specified folder ""%s"" before saving the sitemap.","Bitte erstellen sie den benötigten Ordner ""%s"", bevor Sie die Sitemap speichern."
"Please define correct path","Bitte definieren Sie einen korrekten Pfad"
"Please make sure that ""%s"" is writable by web-server.","Bitte vergewissern Sie sich, dass ""%s"" seitens des Webservers beschreibbar ist."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Bitte verwenden Sie nur Buchstaben (a-z oder A-Z), Zahlen (0-9) oder Unterstriche (_) im Dateinamen. Leerzeichen oder andere Zeichen sind nicht zugelassen."
"Priority","Priorität"
"Products Options","Produkte Optionen"
"Sitemap","Sitemap"
"Sitemap generate Warnings","Warnungen zu Sitemap generieren"
"Start Time","Startzeit"
"Store View","Store-Ansicht"
"The priority must be between 0 and 1.","Die Priorität muss zwischen 0 und 1 liegen."
"The sitemap ""%s"" has been generated.","Die Sitemap ""%s"" wurde generiert."
"The sitemap has been deleted.","Die Sitemap wurde gelöscht."
"The sitemap has been saved.","Die Sitemap wurde gespeichert."
"This sitemap no longer exists.","Diese Sitemap existiert nicht mehr."
"Unable to find a sitemap to delete.","Sitemap zur Löschung konnte nicht gefunden werden."
"Unable to find a sitemap to generate.","Sitemap, die generiert werden soll, konnte nicht gefunden werden."
"Unable to generate the sitemap.","Sitemap kann nicht erstellt werden."
"Valid values range: from 0.0 to 1.0.","Gültige Eingaben: zwischen 0,0 und 1,0."
"Weekly","Wöchentlich"
"Yearly","Jährlich"
