sku,linked_sku
"24-MB01","24-MB02
24-MB03
24-MB05
24-MB06
24-UB02
24-WB03
24-WB04
24-WB07"
"24-MB02","24-UB02"
"24-MB03","24-MB02
24-MB05
24-MB06
24-UB02
24-WB04
24-WB07"
"24-MB04","24-MB01
24-MB02
24-MB03
24-MB05
24-MB06
24-UB02
24-WB03
24-WB04
24-WB06
24-WB07"
"24-MB05","24-MB02
24-UB02"
"24-MB06","24-MB02
24-UB02"
"24-WB01","24-MB01
24-MB02
24-MB03
24-MB05
24-MB06
24-UB02
24-WB03
24-WB04
24-WB06
24-WB07"
"24-WB02","24-MB01
24-MB02
24-MB03
24-MB05
24-MB06
24-UB02
24-WB03
24-WB04
24-WB06
24-WB07"
"24-WB03","24-MB02
24-MB03
24-MB05
24-MB06
24-UB02
24-WB04
24-WB07"
"24-WB04","24-MB02
24-UB02"
"24-WB05","24-MB01
24-MB02
24-MB03
24-MB05
24-MB06
24-UB02
24-WB03
24-WB04
24-WB06
24-WB07"
"24-WB06","24-MB01
24-MB02
24-MB03
24-MB05
24-MB06
24-UB02
24-WB03
24-WB04
24-WB07"
"24-WB07","24-MB02
24-UB02"
