All,全部
None,无
"Are you sure?",您是否确认？
Cancel,取消
Back,返回
Product,产品名
Price,价格
Quantity,数量
Products,产品
ID,"产品 ID"
SKU,SKU
No,否
Qty,Qty
Action,操作
Reset,重置状态
Edit,编辑
"Add to Cart",添加到购物车
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"First Name",名字
"Last Name",姓氏
Email,电子邮件
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
"Use Default","Use Default"
Delete,删除
Save,保存
Store,商店
"-- Please Select --","-- 请选择 --"
"Custom Design",自定义设计
Yes,是
"Web Site","Web Site"
Name,姓名
Status,状态
Disabled,已禁用
Enabled,已启用
"Save and Continue Edit",保存并继续编辑
Title,标题
"Store View",店铺视图
Type,类型
Home,主页
Search,搜索
"Select All","Select All"
"Add New",添加新内容
"Please select items.",请选择项目。
Required,Required
Website,网站
"All Websites",所有网站
Next,下一个
"Please enter a valid number in this field.","Please enter a valid number in this field."
Catalog,分类
Images,Images
"per page",每页
"Mass Actions","Mass Actions"
"Unselect All","Unselect All"
"Select Visible","Select Visible"
"Unselect Visible","Unselect Visible"
"items selected","items selected"
"The information in this tab has been changed.","The information in this tab has been changed."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
Loading...,Loading...
OK,确定
Visibility,可见性
Position,位置
Fixed,固定
"Use Default Value",使用默认值
N/A,N/A
Percent,Percent
"Option Title","Option Title"
"Input Type",输入类型
"New Option","New Option"
"Price Type",价格类型
"* Required Fields",*必要字段
Availability,Availability
"In stock",现货
"Out of stock",缺货
"Excl. Tax:","Excl. Tax:"
"Incl. Tax:","Incl. Tax:"
Root,根
"Save Category",保存分类
"Delete Category",删除分类
"New Subcategory",新建子类别
"New Root Category",新建根类别
"Set Root Category for Store",为店铺选择根分类
"Use Config Settings",使用配置设置
"Use All Available Attributes","Use All Available Attributes"
"General Information",常规信息
"Category Data",分类数据
"Category Products",分类产品
"Add Subcategory",添加子分类
"Add Root Category",添加根分类
"Create Permanent Redirect for old URL",为老URL创建永久重定向
Day,Day
Month,Month
Year,Year
