All,Tous
None,aucun
"Are you sure?","Etes-vous sûr ?"
Cancel,Annuler
Back,Retour
Product,"Nom du produit"
Price,Prix
Quantity,Quantité
Products,Produits
ID,"ID produit"
SKU,UGS
No,Non
Qty,Qty
Action,Action
Reset,Réinitialiser
Edit,Éditer
"Add to Cart","Ajouter au panier"
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"First Name",Prénom
"Last Name","Nom de famille"
Email,Email
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
"Use Default","Use Default"
Delete,Supprimer
Save,Sauvegarder
Store,Magasin
"-- Please Select --","-- Veuillez sélectionner --"
"Custom Design","Dessin sur mesure"
Yes,Oui
"Web Site","Web Site"
Name,Nom
Status,Statut
Disabled,Désactivé
Enabled,Activé
"Save and Continue Edit","Sauvegarder et continuer l'édition"
Title,Titre
"Store View","Vue du magasin"
Type,Type
Home,Accueil
Search,Rechercher
"Select All","Select All"
"Add New","Ajouter un nouveau"
"Please select items.","Veuillez sélectionner des articles."
Required,Required
Website,Site
"All Websites","Tous les sites web"
Next,Suivant
"Please enter a valid number in this field.","Please enter a valid number in this field."
Catalog,Catalogue
Images,Images
"per page","par page"
"Mass Actions","Mass Actions"
"Unselect All","Unselect All"
"Select Visible","Select Visible"
"Unselect Visible","Unselect Visible"
"items selected","items selected"
"The information in this tab has been changed.","The information in this tab has been changed."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
Loading...,Loading...
OK,OK
Visibility,Visibilité
Position,Position
Fixed,Fixé
"Use Default Value","Utiliser la valeur par défaut"
N/A,N/A
Percent,Percent
"Option Title","Option Title"
"Input Type","Entrer le type"
"New Option","New Option"
"Price Type","Type de prix"
"* Required Fields","* Champs obligatoires"
Availability,Availability
"In stock","En stock"
"Out of stock",Epuisé
"Excl. Tax:","Excl. Tax:"
"Incl. Tax:","Incl. Tax:"
Root,Racine
"Save Category","Sauvegarder catégorie"
"Delete Category","Supprimer catégorie"
"New Subcategory","Nouvelle sous-catégorie"
"New Root Category","Nouvelle catégorie principale"
"Set Root Category for Store","Sélectionner Catégorie d'Origine pour Boutique"
"Use Config Settings","Utiliser les Paramètres de Configuration"
"Use All Available Attributes","Use All Available Attributes"
"General Information","Informations générales"
"Category Data","Données de la Catégorie"
"Category Products","Produits de la Catégorie"
