All,Alle
None,Keine
"Are you sure?","Sind Sie sicher?"
Cancel,Abbrechen
Back,Zurück
Product,Produktbezeichnung
Price,Preis
Quantity,Menge
Products,Produkte
ID,ProduktId
SKU,Artikelposition
No,Nein
Qty,Qty
Action,Aktion
Reset,Zurücksetzen
Edit,Bearbeiten
"Add to Cart","Zum Warenkobrn hinzufügen"
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"First Name",Vorname
"Last Name","Letzter Name"
Email,E-Mail
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
"Use Default","Use Default"
Delete,Löschen
Save,speichern
Store,Shop
"-- Please Select --","-- Bitte auswählen --"
"Custom Design","Eigene Gestaltung"
Yes,Ja
"Web Site","Web Site"
Name,Name
Status,Status
Disabled,Deaktiviert
Enabled,Aktiviert
"Save and Continue Edit","Speichern und Bearbeitung fortsetzen"
Title,Titel
"Store View",Store-Ansicht
Type,Typ
Home,Startseite
Search,Suche
"Select All","Select All"
"Add New","Neu hinzufügen"
"Please select items.","Bitte wählen Sie Artikel."
Required,Required
Website,Website
"All Websites","Alle Webseiten"
Next,Weiter
"Please enter a valid number in this field.","Please enter a valid number in this field."
Catalog,Katalog
Images,Images
"per page","pro Seite"
"Mass Actions","Mass Actions"
"Unselect All","Unselect All"
"Select Visible","Select Visible"
"Unselect Visible","Unselect Visible"
"items selected","items selected"
"The information in this tab has been changed.","The information in this tab has been changed."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
Loading...,Loading...
OK,OK
Visibility,Sichtbarkeit
Position,Position
Fixed,Fix
"Use Default Value","Standardwert verwenden"
N/A,"Nicht zutreffend"
Percent,Percent
"Option Title","Option Title"
"Input Type",Eingabetyp
"New Option","New Option"
"Price Type",Preistyp
"* Required Fields","* Notwendige Felder"
Availability,Availability
"In stock","Auf Lager"
"Out of stock",Ausverkauft
"Excl. Tax:","Excl. Tax:"
"Incl. Tax:","Incl. Tax:"
Root,Root
"Save Category","Kategorie speichern"
"Delete Category","Kategorie löschen"
"New Subcategory","Neue Unterkategorie"
"New Root Category","Neue Root Kategorie"
"Set Root Category for Store","Rootkategorie für Store festlegen"
"Use Config Settings","Konfigurations-Einstellungen verwenden"
"Use All Available Attributes","Use All Available Attributes"
"General Information","Allgemeine Information"
"Category Data",Kategoriedaten
"Category Products",Kategorieprodukte
"Add Subcategory","Unterkategorie hinzufügen"
"Add Root Category","Stammkategorie hinzufügen"
"Create Permanent Redirect for old URL","Andauernde Umleitung für alte URL erstellen"
Day,Day
Month,Month
Year,Year
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"WYSIWYG Editor","WYSIWYG Editor"
"Add Product","Produkt hinzufügen"
label,label
"Product Attributes","Produkt Attribute"
"Add New Attribute","Neues Attribut hinzufügen"
"Save in New Attribute Set","Save in New Attribute Set"
"Enter Name for New Attribute Set","Enter Name for New Attribute Set"
"Save Attribute","Eigenschaft speichern"
"Delete Attribute","Attribute löschen"
