sku,rating_code,rating_value,title,review,reviewer,email
24-MB01,Rating,2,"I prefer more compartments","I prefer more compartments. If you don't mind putting everything in one space, it's fine. Good for the gym.",Chi,
24-MB01,Rating,3,"I use it a lot ","It's a good size and I use it a lot. My only issue with it was I wanted the handles to be longer so I can wear it on my back.",Filiberto,
24-MB02,Rating,5,"I've had this thing for really long","I've had this thing for a really long time and it barely shows any signs of wear and tear. It's really big, too! I've taken it on day trips as well as short vacations and usually have no trouble finding room for my stuff.",Herb,
24-MB02,Rating,3,"Decent bag","Decent bag. I keep my stuff in it for work and the gym. It's nice and roomy. I wish it had a more sophisticated design, though. Kinda looks like it's for kids.",Craig,
24-MB02,Rating,2,"Screwed up my back","I can't believe they're claiming these straps are ""padded."" Wearing this thing to class for a semester totally screwed up my back, and my shoulders would start to ache after a few minutes where the straps dug in.",Orville,
24-MB03,Rating,4,"Awesome bag","Awesome bag but I found it to be smaller than I thought. I haven't felt any additional strain on my back and I use it all day long for my job.",Marty,
24-MB03,Rating,3,"The back needs more padding","If the back had more padding I would recommend it for everyone. You can tell the material is strong and not cheap so it's definitely worth it.",Chase,
24-MB03,Rating,3,"I bought this backpack for my son","I bought this backpack for my son to take to school, but he carries it like a suitcase now! It's also really good for airplane travel.",Kennith,
24-MB04,Rating,5,"awesome for going back and forth","This is awesome for going back and forth to class. I live off campus and it's a longer walk, but this pack fits comfortably and I can even store my laptop in the main compartment.",Gaston,
24-MB04,Rating,4,"comfy and i don't feel like a loser","comfy and i don't feel like a loser carrying it.",Issac,
24-MB05,Rating,1,"The shoulder strap broke ","The shoulder strap broke the first time I used it. Awesome.",Daren,
24-MB05,Rating,4,"Good for work. Holds everything ","This is good for work. Holds everything I need. The fabric doesn't seem that strong, but so far so good.",Garry,
24-MB05,Rating,5,"Great bag! I use it for everything! ","Great bag! I use it for everything! Not sure what happened with the person who said the strap broke because mine is perfect. Maybe it was fluke? I'd return it and try another. It's been awesome for me!",Quinn,
24-MB06,Rating,5,"This bag is really cool","This bag is really cool. I'm an art major, so I have tons of supplies that I have to lug back and forth every day for class. I didn't think this would be big enough, but surprisingly it can hold just about all my stuff. I really like the way it looks too.",Jame,
24-MB06,Rating,2,"Color is weird","I wanted to like this bag, and it is definitely good quality, but the color is so weird in real life. From a distance it kind of looks like I just found it in a dumpster. Shame because that is the only drawback.",Adalberto,
24-MG01,Rating,5,"I am OBSESSED with these","I run 5 times a day and am OBSESSED with this watch! It tracks and calculates all the things my brain can't because I hate maths. PS I know this is a men's watch and I am not a man, but I have large wrists!",Refugio,
24-MG01,Rating,5,"This thing is awesome ","This thing is awesome and remembers all the stuff I've stored. ",Jewel,
24-MG01,Rating,3,"It slides around on my wrist","It slides around on my wrist when I sweat. I've tried making it smaller but that doesn't seem to help.",Brice,
24-MG02,Rating,4,"Working flawlessly","I recently replace my 25 year old watch with this one, so it had high expectations to live up to. So far all the features are working flawlessly, I only hope it lasts as long as my old one.",Billy,
24-MG02,Rating,4,"offers a lot of technology","can't say this is the coolest looking watch I've ever owned (it's no FAMOUS DESIGNER or anything) but it has a lot to offer technology-wise",Marc,
24-MG02,Rating,3,"Hydration alarm","This was given as a gift to me and it wasn't the one I asked for, but I'm starting to like the different perks like the hydration alarm",Luther,
24-MG03,Rating,3,"It works ok but the ugliness is blinding","It works ok but the ugliness is blinding I am literally blinded",Leon,
24-MG03,Rating,2,"Watch too tight","Watch too tight please email how to loosen it or I'll leave bad review",Max,
24-MG03,Rating,2,"No ticktock","I got it because I thought it would still make a ticktick noise even though it's digital, but it doesn't!",Chuck,
