"Are you sure?","Tem certeza?"
Cancel,Cancel
Back,Voltar
Product,"Nome do produto"
Price,Preço
Quantity,Quant.
ID,Identidade
SKU,"Unidade de Manutenção de Estoque"
Action,Action
Edit,Edit
Customer,Cliente
Guest,Convidado
Delete,Excluir
Name,Nome
Status,Status
"Sort Order","Classificar pedido"
Title,Título
"Are you sure you want to do this?","Tem certeza de que quer fazer isso?"
Type,Tipo
Description,Description
Previous,Previous
Next,Next
Active,Active
Visibility,"Visível em"
"* Required Fields","* Required Fields"
Summary,Summary
"Default Value","Valor Predifinido"
Websites,Sites
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Product Name","Product Name"
Inactive,Inactive
"View Details","Visualizar Detalhes"
Created,"Criado Em"
"Product Reviews","Comentários sobre Produto"
Pending,Pending
Review,Análise
Reviews,Resenhas
"Save Review","Salvar análise"
"Add New Review","Adicionar novo comentário"
"Review Details","Detalhes de análise"
"Product Rating","Avaliação do produto"
"Visible In","Visible In"
Nickname,"Alcunha (Nickname)"
"Summary of Review","Resumo de análise"
"Save and Previous","Save and Previous"
"Save and Next","Save and Next"
"Delete Review","Excluir avaliação"
"Edit Review '%1'","Edit Review '%1'"
"New Review","Nova Resenha"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
Administrator,Administrador
"Posted By","Publicado por"
"Summary Rating","Resumo de avaliação"
"Detailed Rating","Avaliação detalhada"
"Pending Reviews RSS","Comentários RSS Pendentes"
"Update Status","Atualizar status"
"Pending Reviews of Customer `%1`","Pending Reviews of Customer `%1`"
"Pending Reviews","Comentários Pendentes"
"All Reviews of Customer `%1`","All Reviews of Customer `%1`"
"All Reviews of Product `%1`","All Reviews of Product `%1`"
"All Reviews","Todas as Revisões"
"Product Store Name","Product Store Name"
"Manage Ratings","Gerenciar Classificações"
"Add New Rating","Adicionar nova avaliação"
"Save Rating","Salvar avaliação"
"Delete Rating","Exclui avaliação"
"Edit Rating #%1","Edit Rating #%1"
"New Rating","Nova avaliação"
"Rating Title","Título da avaliação"
"Rating Visibility","Visibilidade da avaliação"
"Is Active","Is Active"
"Please specify a rating title for a store, or we'll just use the default value.","Please specify a rating title for a store, or we'll just use the default value."
"Rating Information","Informações de avaliação"
"Customer Reviews","Resenhas de Cliente"
"Edit Review","Edit Review"
"The review was removed by another user or does not exist.","A análise foi removida por outro usuário ou não existe."
"You saved the review.","You saved the review."
"Something went wrong while saving this review.","Something went wrong while saving this review."
"The review has been deleted.","The review has been deleted."
"Something went wrong  deleting this review.","Something went wrong  deleting this review."
"Please select review(s).","Please select review(s)."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"An error occurred while updating the selected review(s).","An error occurred while updating the selected review(s)."
"We can't get the product ID.","We can't get the product ID."
"An error occurred while saving review.","An error occurred while saving review."
"You saved the rating.","You saved the rating."
"You deleted the rating.","You deleted the rating."
Ratings,Ratings
"My Product Reviews","Análises dos meus produtos"
"Your review has been accepted for moderation.","Sua avaliação foi aceita para moderação."
"We cannot post the review.","We cannot post the review."
"Storage key was not set","Storage key was not set"
Approved,Approved
"Not Approved","Not Approved"
"The review summary field can't be empty.","The review summary field can't be empty."
"The nickname field can't be empty.","The nickname field can't be empty."
"The review field can't be empty.","The review field can't be empty."
"Rating isn't Available","A avaliação não está disponível"
"Assigned Options","Opções especificadas"
"Option Title:","Título da opção:"
Rating,"Nome da avaliação"
"You have submitted no reviews.","Você não enviou nenhuma revisão."
"My Recent Reviews","Minhas análises recentes"
"View All Reviews","Visualizar todas as revisões"
"Average Customer Rating:","Média de avaliação do cliente:"
"Your Rating:","Sua avaliação:"
Rating:,Avaliação:
"Your Review (submitted on %1):","Your Review (submitted on %1):"
"Review (submitted on %1):","Review (submitted on %1):"
"Back to My Reviews","Voltar para Meus comentários"
"Be the first to review this product","Seja a primeira pessoa a avaliar este produto"
"Write Your Own Review","Escrever sua própria revisão"
"You're reviewing:","Você está revisando:"
"How do you rate this product?","Como você avalia este produto?"
"%1 %2","%1 %2"
"Summary of Your Review","Resumo da sua análise"
"Submit Review","Enviar análise"
"Only registered users can write reviews. Please, <a href=""%1"">log in</a> or <a href=""%2"">register</a>","Only registered users can write reviews. Please, <a href=""%1"">log in</a> or <a href=""%2"">register</a>"
Review(s),Review(s)
"Add Your Review","Adicionar seu comentário"
"%1 Review(s)","%1 Review(s)"
"Review by","Review by"
"Posted on","Posted on"
"Back to Main Product Info","Voltar às principais informações do produto"
"Average Customer Rating","Média de avaliação do cliente"
"Product Rating:","Avaliação do produto:"
"Product Review (submitted on %1):","Product Review (submitted on %1):"
"Back to Product Reviews","Voltar para Comentários do produto"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
