"Are you sure?","Weet u het zeker?"
Cancel,Cancel
Back,Terug
Product,Productnaam
Price,Prijs
Quantity,Hoeveelheid
ID,ID
SKU,SKU
Action,Action
Edit,Edit
Customer,Klant
Guest,Gast
Delete,Verwijderen
Name,Naam
Status,Status
"Sort Order","Sorteer Bestelling"
Title,Titel
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
Type,Type
Description,Description
Previous,Previous
Next,Next
Active,Active
Visibility,"Zichtbaar in"
"* Required Fields","* Required Fields"
Summary,Summary
"Default Value","Vaststaande Waarde"
Websites,Websites
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Product Name","Product Name"
Inactive,Inactive
"View Details","Details bekijken"
Created,"Gemaakt Op"
"Product Reviews",Productbeoordelingen
Pending,Pending
Review,recensie
Reviews,Reviews
"Save Review","Recensie opslaan"
"Add New Review","Voeg Nieuwe Beoordeling toe"
"Review Details","Details recensie"
"Product Rating",Productbeoordeling
"Visible In","Visible In"
Nickname,Bijnaam
"Summary of Review","Samenvatting van recensie"
"Save and Previous","Save and Previous"
"Save and Next","Save and Next"
"Delete Review","Verwijder Review"
"Edit Review '%1'","Edit Review '%1'"
"New Review","Nieuwe Review"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
Administrator,Administrator
"Posted By",Door
"Summary Rating","Beknopte beoordeling"
"Detailed Rating","Gedetailleerde Rating"
"Pending Reviews RSS","In Afwachting van Reviews RSS"
"Update Status","Status bijwerken"
"Pending Reviews of Customer `%1`","Pending Reviews of Customer `%1`"
"Pending Reviews","In afwachting van beoordelingen"
"All Reviews of Customer `%1`","All Reviews of Customer `%1`"
"All Reviews of Product `%1`","All Reviews of Product `%1`"
"All Reviews","Alle Recensies"
"Product Store Name","Product Store Name"
"Manage Ratings","Beheer Ratings"
"Add New Rating","Voeg Nieuwe Rating toe"
"Save Rating","Beoordeling opslaan"
"Delete Rating","Verwijder Rating"
"Edit Rating #%1","Edit Rating #%1"
"New Rating","Nieuwe beoordeling"
"Rating Title","Rating Titel"
"Rating Visibility","Rating Zichtbaarheid"
"Is Active","Is Active"
"Please specify a rating title for a store, or we'll just use the default value.","Please specify a rating title for a store, or we'll just use the default value."
"Rating Information","Rating Informatie"
"Customer Reviews",Klantbeoordelingen
"Edit Review","Edit Review"
"The review was removed by another user or does not exist.","De beoordeling werd verwijderd door een andere gebruiker of bestaat niet."
"You saved the review.","You saved the review."
"Something went wrong while saving this review.","Something went wrong while saving this review."
"The review has been deleted.","The review has been deleted."
"Something went wrong  deleting this review.","Something went wrong  deleting this review."
"Please select review(s).","Please select review(s)."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"An error occurred while updating the selected review(s).","An error occurred while updating the selected review(s)."
"We can't get the product ID.","We can't get the product ID."
"An error occurred while saving review.","An error occurred while saving review."
"You saved the rating.","You saved the rating."
"You deleted the rating.","You deleted the rating."
Ratings,Ratings
"My Product Reviews","Mijn Product Reviews"
"Your review has been accepted for moderation.","Uw beoordeling is geaccepteerd voor evaluatie."
"We cannot post the review.","We cannot post the review."
"Storage key was not set","Storage key was not set"
Approved,Approved
"Not Approved","Not Approved"
"The review summary field can't be empty.","The review summary field can't be empty."
"The nickname field can't be empty.","The nickname field can't be empty."
"The review field can't be empty.","The review field can't be empty."
"Rating isn't Available","Rating is niet Beschikbaar"
"Assigned Options","Toegewezen Opties"
"Option Title:","Optie Titel:"
Rating,"Rating Naam"
"You have submitted no reviews.","U heeft geen recensies ingestuurd"
"My Recent Reviews","Mijn Recente Reviews"
"View All Reviews","Alle recensies bekijken"
"Average Customer Rating:","Gemiddelde Waardering door Klant:"
"Your Rating:","Uw beoordeling:"
Rating:,Beoordeling:
"Your Review (submitted on %1):","Your Review (submitted on %1):"
"Review (submitted on %1):","Review (submitted on %1):"
"Back to My Reviews","Terug naar Mijn Beoordelingen"
"Be the first to review this product","Wees de eerste om dit product te waarderen"
"Write Your Own Review","Schrijf je eigen recensie"
"You're reviewing:","U recenseert:"
"How do you rate this product?","Hoe heeft u dit product gewaardeerd?"
"%1 %2","%1 %2"
"Summary of Your Review","Overzicht van uw recensie"
"Submit Review","Recensie insturen"
"Only registered users can write reviews. Please, <a href=""%1"">log in</a> or <a href=""%2"">register</a>","Only registered users can write reviews. Please, <a href=""%1"">log in</a> or <a href=""%2"">register</a>"
Review(s),Review(s)
"Add Your Review","Voeg Uw Beoordeling toe"
"%1 Review(s)","%1 Review(s)"
"Review by","Review by"
"Posted on","Posted on"
"Back to Main Product Info","Terug naar Belangrijkste Productinformatie"
"Average Customer Rating","Gemiddelde Waardering door Klant"
"Product Rating:",Productbeoordeling:
"Product Review (submitted on %1):","Product Review (submitted on %1):"
"Back to Product Reviews","Terug naar Productbeoordelingen"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
