"Are you sure?","Etes-vous sûr ?"
Cancel,Cancel
Back,Retour
Product,"Nom produit"
Price,Prix
Quantity,Qté
ID,ID
SKU,UGS
Action,Action
Edit,Edit
Customer,Client
Guest,Invité
Delete,Supprimer
Name,Nom
Status,Statut
"Sort Order","Trier la commande"
Title,Titre
"Are you sure you want to do this?","Êtes-vous sûrs de vouloir faire celà?"
Type,Type
Description,Description
Previous,Previous
Next,Next
Active,Active
Visibility,"Visible dans"
"* Required Fields","* Required Fields"
Summary,Summary
"Default Value","Valeur par Défaut"
Websites,"Site web"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Product Name","Product Name"
Inactive,Inactive
"View Details","Voir détails"
Created,Created
"Product Reviews","Avis sur le produit"
Pending,Pending
Review,Avis
Reviews,Commentaires
"Save Review","Enregistrer l'avis"
"Add New Review","Ajouter un nouvel avis"
"Review Details","Détails de l'avis"
"Product Rating","Évaluation du produit"
"Visible In","Visible In"
Nickname,Surnom
"Summary of Review","Résumé des avis"
"Save and Previous","Save and Previous"
"Save and Next","Save and Next"
"Delete Review","Supprimer l'avis"
"Edit Review '%1'","Edit Review '%1'"
"New Review","Nouvel avis"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
Administrator,Administrateur
"Posted By","Posté par"
"Summary Rating","Résumé de l'évaluation"
"Detailed Rating","Évaluation détaillée"
"Pending Reviews RSS","RSS des avis en attente"
"Update Status","Mettre à jour le statut"
"Pending Reviews of Customer `%1`","Pending Reviews of Customer `%1`"
"Pending Reviews","Avis en attente"
"All Reviews of Customer `%1`","All Reviews of Customer `%1`"
"All Reviews of Product `%1`","All Reviews of Product `%1`"
"All Reviews","Tous les avis"
"Product Store Name","Product Store Name"
"Manage Ratings","Gérer les Notes"
"Add New Rating","Ajouter une note"
"Save Rating","Sauver la note"
"Delete Rating","Supprimer la note"
"Edit Rating #%1","Edit Rating #%1"
"New Rating","Nouvelle note"
"Rating Title","Titre de la note"
"Rating Visibility","Visiblité de la note"
"Is Active","Is Active"
"Please specify a rating title for a store, or we'll just use the default value.","Please specify a rating title for a store, or we'll just use the default value."
"Rating Information","Informations sur la note"
"Customer Reviews","Avis du client"
"Edit Review","Edit Review"
"The review was removed by another user or does not exist.","Le rapport a été supprimé par un autre utilisateur ou n'existe pas."
"You saved the review.","You saved the review."
"Something went wrong while saving this review.","Something went wrong while saving this review."
"The review has been deleted.","The review has been deleted."
"Something went wrong  deleting this review.","Something went wrong  deleting this review."
"Please select review(s).","Please select review(s)."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"An error occurred while updating the selected review(s).","An error occurred while updating the selected review(s)."
"We can't get the product ID.","We can't get the product ID."
"An error occurred while saving review.","An error occurred while saving review."
"You saved the rating.","You saved the rating."
"You deleted the rating.","You deleted the rating."
Ratings,Ratings
"My Product Reviews","Mes avis sur les produits"
"Your review has been accepted for moderation.","Votre avis a été accepté pour la modération."
"We cannot post the review.","We cannot post the review."
"Storage key was not set","Storage key was not set"
Approved,Approved
"Not Approved","Not Approved"
"The review summary field can't be empty.","The review summary field can't be empty."
"The nickname field can't be empty.","The nickname field can't be empty."
"The review field can't be empty.","The review field can't be empty."
"Rating isn't Available","Pas de note disponible"
"Assigned Options","Options Spécifiques"
"Option Title:","Titre de l'option:"
Rating,"Nom de la note"
"You have submitted no reviews.","Vous n'avez envoyé aucun avis."
"My Recent Reviews","Mes avis récents"
"View All Reviews","Voir tous les avis"
"Average Customer Rating:","Note moyenne des clients :"
"Your Rating:","Votre évaluation :"
Rating:,"Évaluation :"
"Your Review (submitted on %1):","Your Review (submitted on %1):"
"Review (submitted on %1):","Review (submitted on %1):"
"Back to My Reviews","Retour à Mes avis"
"Be the first to review this product","Soyez le premier à évaluer ce produit"
"Write Your Own Review","Écrivez votre propre avis"
"You're reviewing:","Vous donnez votre avis sur :"
"How do you rate this product?","Comment noter-vous ce produit ?"
"%1 %2","%1 %2"
"Summary of Your Review","Résumé de votre avis"
"Submit Review","Envoyer l'avis"
"Only registered users can write reviews. Please, <a href=""%1"">log in</a> or <a href=""%2"">register</a>","Only registered users can write reviews. Please, <a href=""%1"">log in</a> or <a href=""%2"">register</a>"
Review(s),Review(s)
"Add Your Review","Ajouter votre avis"
"%1 Review(s)","%1 Review(s)"
"Review by","Review by"
"Posted on","Posted on"
"Back to Main Product Info","Retour à la page principale du produit"
"Average Customer Rating","Note moyenne des clients"
"Product Rating:","Évaluation du produit :"
"Product Review (submitted on %1):","Product Review (submitted on %1):"
"Back to Product Reviews","Retour aux avis sur le produit"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
