"%d Review(s)","%d件のレビュー"
"%s Review(s)","%s 件のレビュー"
"(Posted on %s)","(投稿者 %s)"
"1 star","1つ星"
"2 stars","2つ星"
"3 stars","3つ星"
"4 stars","4つ星"
"5 stars","5つ星"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","新規レビューの追加"
"Add Your Review","レビューを追加"
"Administrator","管理者"
"All Reviews","全てのレビュー"
"All Reviews of Customer `%s`","`%s`の投稿したレビュー"
"All Reviews of Product `%s`","商品 `%s` のすべてのレビュー"
"Allow Guests to Write Reviews","ゲストのレビュー投稿を許可する"
"Are you sure you want to do this?","実行してもよろしいですか？"
"Are you sure?","よろしいですか？"
"Average Customer Rating","平均評価"
"Average Customer Rating:","平均評価:"
"Back","戻る"
"Back to Main Product Info","商品メイン情報に戻る"
"Back to My Reviews","レビューに戻る"
"Back to Product Reviews","商品レビューに戻る"
"Be the first to review this product","この商品の最初のレビューを書く"
"Catalog Product Review View","カタログ商品レビュー"
"Catalog Product Reviews List","カタログ商品レビュー一覧"
"Created On","作成日"
"Customer","顧客"
"Customer My Account Product Reviews","マイページ商品レビュー"
"Customer My Account Review Details","マイページレビュー詳細"
"Customer Reviews","顧客レビュー"
"Customers Reviews","顧客のレビュー"
"Delete","削除"
"Delete Review","レビュー削除"
"Detailed Rating","評価の詳細"
"Edit Review '%s'","レビュー'%s'を編集"
"Guest","ゲスト様"
"How do you rate this product?","この商品はいかがでしたか？"
"ID","ID"
"Manage Ratings","評価管理"
"My Product Reviews","商品レビュー"
"My Recent Reviews","最近のレビュー"
"Name","名前"
"Name in Store","ニックネーム"
"New Review","新しいレビュー"
"Nickname","ニックネーム"
"Nickname can\'t be empty","ニックネームを入力してください"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","会員になるとレビューを投稿できます。 <a href=""%s"">ログイン</a> または <a href=""%s"">ご登録</a>ください。"
"Pending Reviews","承認待ちのレビュー"
"Pending Reviews of Customer `%s`","`%s`の承認待ちレビュー"
"Please select a product","商品を選択してください"
"Please select one of each of the ratings above","評価をどれか選択してください"
"Posted By","投稿者"
"Price","価格"
"Product","商品"
"Product Name","商品名"
"Product Rating","商品評価"
"Product Rating:","商品評価:"
"Product Review (submitted on %s):","商品レビュー (送信者 %s):"
"Product Reviews","商品レビュー"
"Product SKU","商品SKU"
"Products Reviews","商品レビュー"
"Qty","個数"
"Rating:","評価:"
"Review","レビュー"
"Review (submitted on %s):","レビュー(投稿者 %s):"
"Review Details","レビュー詳細"
"Review Form Fields Before","レビューフォームの前"
"Review by <span>%s</span>","レビュー者<span>%s</span>"
"Review can\'t be empty","レビュー本文を入力してください"
"Review summary can\'t be empty","レビューサマリを入力してください。"
"Reviews and Ratings","レビューと評価"
"SKU","商品番号"
"Save Review","レビューの保存"
"Status","状態"
"Submit Review","レビューを送信"
"Summary Rating","評価のサマリ"
"Summary of Review","レビューのサマリ"
"Summary of Your Review","レビューのサマリ"
"Title","タイトル"
"Type","タイプ"
"Unable to post the review.","レビューを投稿できません。"
"Update Status","ステータスを更新"
"View All Reviews","全てのレビューを表示"
"View Details","詳細を表示"
"Visible In","表示先"
"Websites","ウェブサイト"
"Write Your Own Review","あなたのレビューを投稿する"
"You have submitted no reviews.","まだレビューを書いていません。"
"You're reviewing:","レビュー中の商品:"
"Your Rating:","評価:"
"Your Review (submitted on %s):","レビュー (送信日 %s):"
"Your review has been accepted for moderation.","あなたのレビューは受付済みで、承認待ちです。"
