"%s was added to your shopping cart.","%s wurde zu Ihrem Warenkorb hinzugefügt."
"%s was updated in your shopping cart.","%s wurde in ihren Einkaufswagen gelegt"
"* Required Fields","* Notwendige Felder"
"Add New Address","Neue Adresse hinzufügen"
"Add New Condition","Neue Kondition hinzufügen"
"Add coupon code for shopping cart","Gutscheincode für Einkaufswagen eingeben"
"Add gift messages to shopping cart","Grußmitteilungen für Einkaufswagen eingeben"
"Add product to shopping cart","Weiteren Artikel in den Einkaufswagen legen"
"Add product(s) to shopping cart","Weitere Artikel in den Einkaufswagen legen"
"Add to Cart","Zum Warenkobrn hinzufügen"
"Add to Compare","Hinzufügen um zu vergleichen"
"Add to Wishlist","Zum Wunschzettel hinzufügen"
"Additional Product Info","Zusätzliche Angaben zum Produkt"
"Address","Adresse"
"Address %s of %s","Adresse %s von %s"
"After Adding a Product Redirect to Shopping Cart","Nach Hinzufügen eines Produktes zum Warenkorb weiterleiten"
"Allow Guest Checkout","Gast Checkout erlauben"
"Already registered?","Schon registriert?"
"An error occurred in the process of payment","Beim Prozessieren der Zahlung ist ein Fehler aufgetreten."
"An error occurred while deleting this condition.","Beim Löschen dieser Kondition ist ein Fehler aufgetreten."
"An error occurred while saving this condition.","Beim Speichern dieser Kondition ist ein Fehler aufgetreten."
"Apply Coupon","Coupon anwenden"
"Are you sure you would like to remove this item from the shopping cart?","Sind Sie sicher, dass sie diesen Artikel aus Ihrem Warenkorb entfernen wollen?"
"Back","Zurück"
"Back to Billing Information","Zurück zur Rechnungsinformation"
"Back to Select Addresses","Zurück zur Adressenauswahl"
"Back to Shipping Information","Zurück zur Versandinformation"
"Back to Shopping Cart","Zurück zum Warenkorb"
"Based on your selection, you may be interested in the following items:","Ihrer Auswahl zufolge könnten Sie möglicherweise an folgenden Artikeln interessiert sein:"
"Billing Address","Rechnungsadresse"
"Billing Information","Rechnungsinformation"
"Billing Information - %s","Rechnungsinformation - %s"
"Cancel Coupon","Coupon abbrechen"
"Cannot add item to the shopping cart.","Artikel kann nicht zum Warenkorb hinzugefügt werden."
"Cannot add the item to shopping cart","Artikel kann nicht zu Warenkorb hinzugefügt werden"
"Cannot add the item to shopping cart.","Kann das Objekt nicht zum Warenkorb hinzufügen."
"Cannot apply the coupon code.","Coupon Code kann nicht angewendet werden."
"Cannot configure product.","Produkt kann nicht konfiguriert werden."
"Cannot open the overview page","Überblickseite kann nicht geöffnet werden."
"Cannot process the item.","Artikel kann nicht verarbeitet werden."
"Cannot remove the item.","Artikel kann nicht entfernt werden."
"Cannot update shopping cart.","Warenkorb kann nicht aktualisiert werden."
"Cannot update the item.","Artikel kann nicht aktualisiert werden."
"Card Verification Number Visual Reference","Kartenprüfnummer Visueller Hinweis"
"Cart Product API","Einkaufswagen Produkt-API"
"Cart Subtotal:","Warenkorb Zwischensumme:"
"Change","Ändern"
"Change Billing Address","Rechnungsadresse ändern"
"Checkbox Text","Checkbox Text"
"Checkout","Checkout"
"Checkout Conditions","Checkout Konditionen"
"Checkout Method","Checkout Methode"
"Checkout Options","Checkout Optionen"
"Checkout Progress Wrapper","Kasse Fortschrittsanzeige"
"Checkout Section","Checkout Bereich"
"Checkout Terms and Conditions","Checkout allgemeine Geschäftsbedingungen"
"Checkout as Guest","Checkout als Gast"
"Checkout as a Guest or Register","Checkout als Gast oder registrieren"
"Checkout with Multiple Addresses","Checkout mit mutiplen Adressen"
"City","Stadt"
"Clear Shopping Cart","Einkaufswagen leeren"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Klicken sie <a href=""%s"">hier um ihre Bestellbestätigung auszudrucken </a>."
"Click <a href=""%s"">here</a> to continue shopping.","<a href=""%s"">Hier</a> klicken, um das Einkaufen fortzusetzen."
"Close","Schließen"
"Company","Firma"
"Condition Name","Konditionsname"
"Configurable Product Image","Konfigurierbares Produktbild"
"Configure Cart Item","Artikel im Korb konfigurieren"
"Confirm Password","Passwort bestätigen"
"Content","Inhalt"
"Content Height","Inhalthöhe"
"Content Height (css)","Inhalthöhe (css)"
"Continue","Fortsetzen"
"Continue Shopping","Einkauf fortfahren"
"Continue to Billing Information","Weiter zur Rechnungsinformation"
"Continue to Review Your Order","Weiter zur Bestellungsüberprüfung"
"Continue to Shipping Information","Weiter zur Versandinformation"
"Country","Land"
"Coupon code ""%s"" is not valid.","Der Gutscheincode ""%s"" ist nicht mehr gültig."
"Coupon code ""%s"" was applied.","Der Gutscheincode ""%s"" wurde eingelöst."
"Coupon code was canceled.","Coupon Code """"%s"""" wurde abgebrochen."
"Create Billing Address","Rechnungsadresse erstellen"
"Create Shipping Address","Versandadresse erstellen"
"Create an order from shopping cart","Geben sie eine Bestellung aus ihrem Einkaufswagen auf."
"Create shopping cart","Ihr Einkaufswagen"
"Customer Address is not valid.","Die Kundenadresse ist nicht gültig."
"Customer Information","Kundeninformation"
"Customer's information","Kundeninformation"
"Data saving problem","Problem beim Speichern der Daten"
"Default Billing","Standard Rechnung"
"Default Shipping","Standard Versand"
"Delete Condition","Kondition löschen"
"Details","Details"
"Disabled","Deaktiviert"
"Discount Codes","Rabattcodes"
"Display Cart Summary","Warenkorb Zusammenfassung anzeigen"
"Display Shopping Cart Sidebar","Warenkorb Sidebar anzeigen"
"Display item quantities","Artikelmengen anzeigen"
"Display number of items in cart","Anzahl der Artikel im Warenkorb anzeigen"
"Display number of items in wishlist","Zeige die Menge der Artikel auf der Wunschliste an."
"Easy access to your order history and status","Schneller Zugriff auf Ihre Bestellungshistorie und Status"
"Edit","Bearbeiten"
"Edit Address","Adresse bearbeiten"
"Edit Billing Address","Rechnungsadresse bearbeiten"
"Edit Condition","Konditionen bearbeiten"
"Edit Items","Artikel bearbeiten"
"Edit Shipping Address","Versandadresse bearbeiten"
"Edit Terms and Conditions","Allgemeine Geschäftsbedingungen bearbeiten"
"Edit Your Cart","Ihren Warenkorb bearbeiten"
"Edit item","Artikel ändern"
"Edit item parameters","Artikelangaben ändern"
"Email Address","E-Mail-Adresse"
"Enable Onepage Checkout","Onepage Checkout aktivieren"
"Enable Terms and Conditions","Allgemeine Geschäftsbedingungen aktivieren"
"Enabled","Aktiviert"
"Enter a New Address","Neue Adresse eingeben"
"Enter your coupon code if you have one.","Geben Sie Ihren Coupon Code ein, falls Sie einen haben."
"Enter your destination to get a shipping estimate.","Geben Sie Ihren Standort an, um die geschätzten Versandkosten/dauer zu ermitteln."
"Estimate Shipping and Tax","Geschätzte Versandkosten und Steuern"
"Excl. Tax","Steuer weglassen"
"Fast and easy check out","Schnell und einfaches Checkout"
"Fax","Fax"
"Forgot an Item?","Sie haben einen Artikel vergessen?"
"Forgot your password?","Sie haben Ihr Passwort vergessen?"
"Get a Quote","Eine Preisangabe bekommen"
"Get list of available payment methods","Liste der verfügbaren Zahlungsarten"
"Get list of available shipping methods","Liste der verfügbaren Versandarten"
"Get list of products in shopping cart","Liste der Produkte im Warenkorb anzeigen"
"Get terms and conditions","Allgemeine Geschäftsbedingungen anzeigen"
"Get total prices for shopping cart","Gesamtpreis für Warenkorb anzeigen"
"Gift Message","Grußnachricht"
"Grand Total:","Gesamtbetrag:"
"Grouped Product Image","Gruppiertes Produktbild"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Steuer inkludieren"
"Invalid checkout type.","Ungültiger Kassenbereich-Typ"
"Invalid data.","Ungültige Daten."
