No,Non
Action,Action
General,Général
Yes,Oui
Status,État
Description,Description
System,Système
Never,Jamais
Updated,Updated
"Index Management","Gestion index"
"Save Process","Save Process"
"Reindex Data","Ré-indexer données"
"'%1' Index Process Information","'%1' Index Process Information"
"Index Name","Nom index"
"Index Description","Description index"
"Index Mode","Mode index"
"Process Information","Traiter infos"
Index,Index
Mode,Mode
"Update Required","Mise à jour nécessaire"
"Change Index Mode","Change mode index"
"Index mode","Mode index"
"Cannot initialize the indexer process.","Ne peut initialiser le traitement de l'indexage"
"The index has been saved.","L'index a été sauvegardé."
"There was a problem with saving process.","Il y a eu un problème avec le traitement de sauvegarde."
"%1 index was rebuilt.","%1 index was rebuilt."
"There was a problem with reindexing process.","Il y a eu un problème avec le traitement de ré-indexage."
"Please select Indexes","Veuillez sélectionner des index"
"Total of %1 index(es) have reindexed data.","Total of %1 index(es) have reindexed data."
"Please select Index(es)","Veuillez sélectionner un ou plusieurs index"
"Total of %1 index(es) have changed index mode.","Total of %1 index(es) have changed index mode."
"%1 Index process is not working now. Please try running this process later.","%1 Index process is not working now. Please try running this process later."
"Indexer name is not defined.","Indexer name is not defined."
"Indexer model is not defined.","Modèle indexage non défini."
"Indexer model should extend \Magento\Index\Model\Indexer\Abstract.","Indexer model should extend \Magento\Index\Model\Indexer\Abstract."
"Update on Save","Mise à jour lors de la sauvegarde"
"Manual Update","Mise à jour manuelle"
Ready,Prêt
Processing,Traitement
"Reindex Required","Ré-indexage requis"
"One or more of the Indexes are not up to date: %1","One or more of the Indexes are not up to date: %1"
"Please go to <a href=""%1"">Index Management</a> and rebuild required indexes.","Please go to <a href=""%1"">Index Management</a> and rebuild required indexes."
