"%s Index process is working now. Please try run this process later.","%s のインデックス処理が実行中です。 あとで実行してください。"
"%s index was rebuilt.","%s のインデックスを再構築しました。"
"'%s' Index Process Information","'%s' のインデックス処理情報"
"Action","アクション"
"Cannot initialize the indexer process.","インデックス処理を初期化できません。"
"Change Index Mode","インデックスモード変更"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","<a href=""%s"">キャッシュ管理</a>でキャッシュを更新してください。"
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","<a href=""%s"">インデックス管理</a>でインデックスを再構築してください。"
"Description","概要"
"Disable","無効"
"Enable","有効"
"General","全般"
"Index","インデックス"
"Index Description","インデックス概要"
"Index Management","インデックス管理"
"Index Mode","インデックスモード"
"Index Name","インデックス名"
"Index mode","インデックス名"
"Indexer code is not defined.","インデックス処理コードが未定義です。"
"Indexer model is not defined.","インデックスモデルが未定義です。"
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","インデックス処理モデルは Mage_Index_Model_Indexer_Abstract を継承しなければなりません。"
"Manual Update","手動更新"
"Mode","モード"
"Never","まだ"
"No","No"
"One or more of the Indexes are not up to date:","1つ以上のインデックスが最新ではありません:"
"Please select Index(es)","インデックスを選択してください"
"Please select Indexes","インデックスを選択してください"
"Process Information","処理情報"
"Processing","処理中"
"Ready","Ready"
"Refresh","更新"
"Reindex Data","再構築"
"Reindex Required","再構築が必要"
"Status","状態"
"System","システム"
"The index has been saved.","インデックスを保存しました。"
"There was a problem with reindexing process.","インデックス再構築中にエラーが発生しました。"
"There was a problem with saving process.","プロセスの保存中にエラーが発生しました。"
"Total of %d index(es) have changed index mode.","合計 %d 件のインデックスモードを変更しました。"
"Total of %d index(es) have reindexed data.","合計 %d 件のインデックスを再構築しました。"
"Update Required","更新が必要"
"Update on Save","逐次更新"
"Updated At","更新日"
"Yes","Yes"
