No,Não
Action,Ação
General,Geral
Yes,Sim
Status,Status
Description,Descrição
System,Sistema
Never,Nunca
Updated,Updated
"Index Management","Gerenciamento de Índice"
"Save Process","Save Process"
"Reindex Data","Reindexar Dados"
"'%1' Index Process Information","'%1' Index Process Information"
"Index Name","Nome do Índice"
"Index Description","Descrição de Índice"
"Index Mode","Modo de Índice"
"Process Information","Processar informação"
Index,Índice
Mode,Modo
"Update Required","Atualização necessária"
"Change Index Mode","Alterar Modo de Indexação"
"Index mode","Modo de Índice"
"Cannot initialize the indexer process.","Não é possível inicializar processo indexador."
"The index has been saved.","O índice foi salvo"
"There was a problem with saving process.","Houve um problema no processo de salvar."
"%1 index was rebuilt.","%1 index was rebuilt."
"There was a problem with reindexing process.","Houve um problema com o processo de reindexação."
"Please select Indexes","Por favor, selecione índices"
"Total of %1 index(es) have reindexed data.","Total of %1 index(es) have reindexed data."
"Please select Index(es)","Por favor, selecione índice(es)"
"Total of %1 index(es) have changed index mode.","Total of %1 index(es) have changed index mode."
"%1 Index process is not working now. Please try running this process later.","%1 Index process is not working now. Please try running this process later."
"Indexer name is not defined.","Indexer name is not defined."
"Indexer model is not defined.","Modelo indexador não está definido."
"Indexer model should extend \Magento\Index\Model\Indexer\Abstract.","Indexer model should extend \Magento\Index\Model\Indexer\Abstract."
"Update on Save","Atualização em Salvar"
"Manual Update","Atualização Manual"
Ready,Pronto
Processing,Processando
"Reindex Required","Obrigatório Reindexar"
"One or more of the Indexes are not up to date: %1","One or more of the Indexes are not up to date: %1"
"Please go to <a href=""%1"">Index Management</a> and rebuild required indexes.","Please go to <a href=""%1"">Index Management</a> and rebuild required indexes."
