" in rows: ","in rijen:"
"-- Please Select --","-- Selecteer alstublieft --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter moet een instantie zijn van Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","Adaptertype mag geen lege zin zijn"
"Can not determine attribute filter type","Kan filtertype attribuut niet bepalen"
"Can not find required columns: ","Kan vereist kolommen niet vinden:"
"Can not get autoincrement value","Kan automatische verhogingswaarde niet verkrijgen"
"Check Data","Kijk Data Na"
"Column names have duplicates","Kolomnamen bevat dubbele invoer"
"Column names is empty or is not an array","Kolomnamen is leeg of niet een reeks"
"Column names: ""%s"" are invalid","Kolomnamen: ""%s"" is ongeldig"
"Continue","Doorgaan"
"Data is invalid or file is not uploaded","Gegevens zijn ongeldig of bestand is niet geüpload"
"Destination directory is not writable","Bestemmingsmap is niet beschrijfbaar"
"Destination file is not writable","Bestemmingsbestand is niet schrijfbaar"
"Destination file path must be a string","Bestemmingspad bestand moet tekst zijn"
"Entity Attributes","Eenheidattributen"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entiteit adapterobject moet een instantie zijn van Mage_ImportExport_model_Import_Entity_Abstract"
"Entity is unknown","Entiteit is onbekend"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entiteit type model moet een instantie zijn van Mage_ImportExport_Model_Export_Entiteit_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entiteit type model moet een instantie zijn van Mage_ImportExport_Model_Import_Entiteit_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Fout in datastructuur: gedragingen zijn gemengd"
"Error in data structure: entity codes are mixed","Fout in datastructuur: entiteitcodes zijn gemengd"
"Export","Export"
"Export FAQ","Export FAQ"
"FAQ","FAQ"
"File does not contain data. Please upload another one","Bestand bevat geen gegevens. Upload a.u.b. een andere"
"File format is unknown","Bestand format is onbekend"
"File is partially valid, but import is not possible","Bestand is gedeeltelijk geldig, maar het is niet mogelijk te importeren"
"File is totally invalid. Please fix errors and re-upload file","Bestand is totaal ongeldig. Herstel a.u.b. de fouten en upload bestand opnieuw"
"File is valid! To start import process press ""Import"" button","Bestand is geldig! Om het importeren te starten klik op de ""Import"" knop"
"File is valid, but import is not possible","Bestand is geldig, maar het is niet mogelijk te importeren"
"Header column names already set","Koptekst kolom namen zijn reeds ingesteld"
"Import","Import"
"Import / Export FAQ (Frequently Asked Questions)","Import / Export FAQ (Veel Gestelde Vragen)"
"Import FAQ","Import FAQ"
"Import successfully done.","Import is succesvol gelukt"
"Import/Export","Import/Export"
"In/Out","In/Uit"
"Input entity code is not equal to entity adapter code","Ingevoerde entity code staat niet gelijk aan de entity adapter code"
"Invalid entity","Ongeldige entity"
"Invalid file format","Ongeldig bestandsformat"
"Invalid parameters","Ongeldige parameters"
"Invalid seek position","Ongeldige zoek positie"
"Invalid value for '%s'","Ongeldige waarde voor '%s'"
"No filter data provided","Geen gefilterde data gegeven"
"No source specified","Geen bron gespecificeerd"
"No valid data sent","Geen geldige gegevens verzonden"
"No writer specified","Geen schrijver gespecificeerd"
"Node does not has model token tag","Node heeft geen model token tag"
"Not implemented yet","Nog niet ingevoerd"
"Please fix errors and re-upload file","Herstel a.u.b. fouten en upload bestand opnieuw"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Gelieve de fouten te corrigeren en de bestanden opnieuw te uploaden of klik simpelweg ""Importeer"" om een regel met fouten over te slaan"
"Some other FAQ","Andere FAQ"
"Source file moving failed","Verplaatsen van het bronbestand mislukt"
"Source file path must be a string","Bronbestand moet een string zijn"
"Source is not set","Bron is niet aangegeven"
"Status","Status"
"System busy","Systeem bezig"
"There are no product types available for export","Er zijn geen product types beschikbaar voor export"
"Total size of uploadable files must not exceed %s","Totale grootte van bestanden die geüpload dienen te worden moet niet groter zijn dan %s"
"Uploaded file has no extension","Het geüploade bestand heeft geen uitgang"
"Validation Results","Validatie Resultaten"
