Email,E-Mail
Name,Name
Submit,Senden
"* Required Fields","* Notwendige Felder"
Telephone,Telephone
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Thanks for contacting us with your comments and questions. We'll respond to you very soon."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Contact Information",Kontaktinformation
Comment,Kommentar
"Email Template","Email Template"
Contacts,Contacts
"Contact Us",Kontakt
"Enable Contact Us","Enable Contact Us"
"Email Options","Email Options"
"Send Emails To","Send Emails To"
"Email Sender","Email Sender"
