"%s %s cycle.","%s %s 周期。"
"--Please Select--","--選択してください--"
"3D Secure Card Validation","3Dセキュアカード認証"
"3D Secure Credit Card Validation","3Dセキュア認証"
"<label>Make Check payable to:</label> %s","<label>小切手の振出先を指定:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","ライブモードには入力が必要です、CardinalCommerces社約款をご参照ください"
"Allow Initial Fee Failure","初期費用支払い失敗を許可する"
"An internal reference ID is required to save the payment profile.","支払プロファイルの保存には内部参照IDが必要です。"
"Authorize action is not available.","オーソリアクションは利用できません"
"Auto Bill on Next Cycle","次の期間から自動課金する"
"Automatically Invoice All Items","自動ですべての商品を請求する。"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","未払い額を次回支払い時に自動請求する。"
"Bank Transfer Payment","銀行振込"
"Billing Agreement status is not set.","支払契約ステータスがセットされていません。"
"Billing Amount","支払額"
"Billing Frequency","支払頻度"
"Billing Period","支払期間"
"Billing Period Unit","支払期間"
"Billing period unit is not defined or wrong.","支払期間が未定義か間違っています"
"Cannot retrieve the payment info model object.","支払情報モデルを受け取れません。"
"Cannot retrieve the payment information object instance.","決済情報を受け取れません。"
"Cannot retrieve the payment method code.","決済方法コードを受け取れません。"
"Cannot retrieve the payment method model object.","支払情報モデルを受け取れません。"
"Capture action is not available.","売上確定処理は利用できません。"
"Card Verification Number","カード確認番号"
"Cash On Delivery Payment","代引き支払い"
"Centinel API URL","3Dセキュア API URL"
"Check / Money Order","小切手 / 現金支払"
"Credit Card Number","クレジットカード番号"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Credit Card Type","クレジットカード会社"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Card Types","クレジットカード会社"
"Credit card number mismatch with credit card type.","クレジットカード番号がカード会社と一致していません。"
"Credit card type is not allowed for this payment method.","クレジットカード会社が支払方法で許可されていません。"
"Currency","通貨"
"Currency code is undefined.","通貨コードが未定義です"
"Customer ID is not set.","顧客IDがセットされていません。"
"Day","日"
"Debug Mode","デバッグモード"
"Enabled","有効"
"Expiration Date","有効期限"
"Expiration Date: %s/%s","Expiration Date: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","定期購読で商品またはサービスを受け取る方のフルネーム"
"Incorrect credit card expiration date.","不正なカード有効期限です。"
"Initial Fee","初期費用"
"Initial non-recurring payment amount due immediately upon profile creation.","初期費用は継続支払を開始してすぐに課金されます。"
"Instructions","説明"
"Internal Reference ID","内部参照ID"
"Invalid Credit Card Number","不正なクレジットカード番号"
"Issue Number","取引番号"
"Make Check Payable to","小切手の振出先を指定"
"Make Check payable to:","小切手の振出先を指定:"
"Make Check payable to: %s","小切手の振出先を指定: %s"
"Maximum Billing Cycles","最大支払期間"
"Maximum Order Total","注文合計最大値"
"Maximum Payment Failures","最大決済失敗回数"
"Maximum Trial Billing Cycles","最大お試し請求回数"
"Merchant ID","マーチャント ID"
"Minimum Order Total","注文合計最小値"
"Month","月"
"N/A","該当無し"
"Name on Card","カード名義"
"Name on the Card","カード名義人"
"Name on the Card: %s","Name on the Card: %s"
"New Order Status","新規注文ステータス"
"Number of billing periods that make up one billing cycle.","請求期日が1つの請求サイクルとみなされます。"
"Order action is not available.","注文アクションは利用できません。"
"Overrides API URL that may be specified by a payment method.","API URLの上書きが決済方法で指定されます。"
"Password","パスワード"
"Payment ID: %s","決済ID: %s"
"Payment Method","お支払方法"
"Payment Methods","支払方法"
"Payment Methods Section","支払方法セクション"
"Payment Reference ID","決済参照ID"
"Payment Services","決済サービス"
"Payment from Applicable Countries","許可された国からの支払"
"Payment from Specific Countries","特定の国からの支払"
"Payment method code is not set.","支払方法コードがセットされていません。"
"Payment method code is undefined.","支払方法コードが未定義です。"
"Payment profile is invalid:\n%s","決済プロファイルが不正:\n%s"
"Period frequency is wrong.","頻度が不正です。"
"Please enter a valid credit card verification number.","正しいカード確認番号を入力してください"
"Processor ID","プロセッサID"
"Purchase Order","配送"
"Purchase Order Number","配送番号"
"Purchase Order Number:","配送番号:"
"Purchase Order Number: %s","配送番号: %s"
"Recurring Profile Start Date","継続課金開始日"
"Recurring profile start date has invalid format.","継続課金開始日が不正なフォーマットです。"
"Reference ID is not set.","参照IDがセットされていません。"
"Refund action is not available.","返金アクションは利用できません。"
"Repeats %s time(s).","%s回繰り返す。"
"Repeats until suspended or canceled.","中断するか、キャンセルされるまで繰り返す"
"Request Card Security Code","カード確認番号を要求する"
"Saved CC","保存したクレジットカード"
"Schedule Description","スケジュール概要"
"Schedule description must be not empty.","スケジュール概要を入力してください。"
"Selected payment type is not allowed for billing country.","選択した決済方法はその国では利用できません。"
"Send Check to","小切手の宛先"
"Send Check to:","小切手の宛先を指定:"
"Severe 3D Secure Card Validation","厳密な3Dセキュアカード検証を行う"
"Severe validation removes chargeback liability on merchant.","厳格な検査によって出店者のチャージバックを回避します。"
"Shipping Amount","配送料金"
"Short description of the recurring payment. By default equals to the product name.","継続課金の概要です。標準では商品名と同じです。"
"Sort Order","並び順"
"Start Date","開始日"
"Start date has invalid format.","開始日が不正な形式です。"
"Start date is undefined.","開始日が未定義です。"
"Subscriber Name","購読者名"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro発行番号"
"Switch/Solo/Maestro Only","Switch/Solo/Maestroのみ"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro開始日"
"Tax Amount","税"
"Test Mode","テストモード"
"The date when billing for the profile begins.","支払日がプロファイルの開始日です。"
"The number of billing cycles for payment period.","支払期間数"
"The number of scheduled payments that can fail before the profile is automatically suspended.","予定した支払い回数はプロファイルが自動的に停止する前に失敗します。"
"The payment review action is unavailable.","支払レビューは利用できません。"
"The requested Payment Method is not available.","リクエストされたお支払い方法はご利用できません。"
"Title","タイトル"
"Trial Billing Amount","お試し金額"
"Trial Billing Frequency","お試し頻度"
"Trial Billing Period Unit","お試し期間"
"Trial Period","お試し期間"
"Trial billing amount is wrong.","お試し金額が不正です。"
"Trial billing period unit is wrong.","お試し期間が間違っています。"
"Trial period frequency is wrong.","お試し頻度が不正です。"
"Trial period max cycles is wrong.","お試し最大回数が不正です。"
"Two Weeks","2週間"
"Unable to save Billing Agreement:","支払契約を保存できません:"
"Unit for billing during the subscription period.","契約期間中の購入単位"
"Unsupported currency code: %s.","未サポートの通貨コード: %s."
"Void action is not available.","取り消しアクションは利用できません。"
"Week","週"
"What is this?","これは何ですか？"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","定期購入の初期費用が未払いになった場合に、支払残高に加算するかどうか。"
"Wrong %s specified.","誤った %s が指定されました。"
"Wrong or empty billing amount specified.","正しくない請求額が指定されました"
"Year","年"
"Zero Subtotal Checkout","ゼロ合計チェックアウト"
