"%1 %2 cycle.","%1 %2 周期。"
"--Please Select--","-- 请选择 --"
"3D Secure Card Validation","3D 安全信用卡验证"
"<label>Make Check payable to:</label> %1","<label>用支票付款给：</label> %1"
"Allow Initial Fee Failure",允许初始费用失败
"American Express",美国运通
"An internal reference ID is required to save the payment profile.",保存支付配置文件时需要提供内部参考ID。
"Auto Bill on Next Cycle",下个周期自动记账
"Automatically Invoice All Items",对所有商品自动创建发票
"Bank Transfer Payment",银行转帐
"Billing Amount",记账额度
"Billing Frequency",记账频率
"Billing Period",账期
"Billing Period Unit",账期单位
"Card Verification Number",卡片验证号码
"Cash On Delivery Payment",活到付款
"Centinel API URL","Centinel API链接"
"Check / Money Order",支票/费用订单
"Credit Card Number",信用卡号码
"Credit Card Type",信用卡类型
"Credit Card Types",信用卡类型
"Credit card number mismatch with credit card type.",信用卡号与信用卡类型不匹配。
"Credit card type is not allowed for this payment method.",信用卡类型无法用于此支付方法。
Currency,币种
Day,天
Discover,发现
Enabled,已启用
"Expiration Date",过期日期
"Incorrect credit card expiration date.",错误的信用卡到期日。
"Initial Fee",初始费用
Instructions,指令
"Internal Reference ID",内部参考ID
"Invalid Credit Card Number",信用卡号无效
"Issue Number",问题编号
"Make Check Payable to",通过支票付款给
"Make Check payable to",付支票付给
"Make Check payable to:",通过支票付款给：
"Make Check payable to: %1",通过支票付款给：%1
"Maximum Billing Cycles",最长记账周期
"Maximum Order Total",最大订单总数
"Maximum Payment Failures",最多付款失败次数
"Maximum Trial Billing Cycles",最长试用记账周期
"Minimum Order Total",最小订单总数
Month,月
N/A,N/A
"Name on Card",卡片上的名字
"Name on the Card",持卡人名字
"New Order Status",新订单状态
"Offline Payment Methods",线下支付方法
Password,密码
"Payment ID: %1","支付 ID：%1"
"Payment Method",支付方式
"Payment Methods",支付方式
"Payment Reference ID","支付参考 ID"
"Payment from Applicable Countries",从可接受的国家支付
"Payment from Specific Countries",从指定的国家支付
"Please enter a valid credit card verification number.",请输入有效的信用卡验证码。
"Purchase Order",采购订单
"Purchase Order Number",采购订单号
"Purchase Order Number: %1",付款的订单号：%1
"Recurring Profile",周期配置
"Recurring Profile Start Date",周期性配置文件开始日期
"Repeats %1 time(s)",重复%1次
"Repeats until suspended or canceled.",一直重复，直到被挂起或取消。
"Request Card Security Code",请求卡安全码。
"Saved CC",保存的CC
"Schedule Description",计划描述
"Send Check to",发送支票给
"Send Check to:",发送支票给：
"Severe 3D Secure Card Validation","提供 3D 安全信用卡验证"
"Shipping Amount",运送量
"Sort Order",排序顺序
"Start Date",开始日期
"Subscriber Name",订阅者姓名
"Switch/Solo/Maestro Issue Number",Switch/Solo/Maestro卡号
"Switch/Solo/Maestro Only","仅限 Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date",Switch/Solo/Maestro开始日期
"Tax Amount",税额
"The authorize action is not available.",认证操作无效。
"The billing period unit is not defined or wrong.",账期单位未定义或定义错误。
"The capture action is not available.",捕获操作无效。
"The currency code is undefined.",货币码未定义。
"The initial, non-recurring payment amount is due immediately when the profile is created.",当配置文件创建后，初始的、非周期性的支付额立即到期。
"The order action is not available.",订购操作无效。
"The payment disallows storing objects.",该支付不允许存储对象。
"The payment method code is not set.",支付方法未设定。
"The payment method code is undefined.",支付方法未定义。
"The payment method you requested is not available.",请求的支付方法无效。
"The payment review action is unavailable.",支付审查操作不可用。
"The period frequency is wrong.",周期频率错误。
"The recurring profile start date has invalid format.",周期性配置文件开始日期格式无效。
"The reference ID is not set.",参考ID未设定。
"The refund action is not available.",退款操作无效。
"The schedule description must be provided.",必须提供日程描述。
"The start date has an invalid format.",开始日期格式无效。
"The start date is undefined.",开始日期未定义。
"The trial billing amount is wrong.",试用账单额错误。
"The trial billing period unit is wrong.",试用账期单位错误。
"The trial period frequency is wrong.",试用期频率错误。
"The trial period max cycles is wrong.",试用期最大周期错误。
"The wrong %1 is specified.",指定了错误的%1。
"This is the date when billing for the profile begins.",这是账单配置文件开始的日期。
"This is the number of billing cycles for the payment period.",这是支付期间的账单周期数。
"This is the number of billing periods that make up one billing cycle.",这是用来完成一个账单周期的账期数。
"This is the unit for billing during the subscription period.",这是账单订阅期间的单位。
Title,标题
"Trial Billing Amount",尝试记账帐户。
"Trial Billing Frequency",尝试记账频率
"Trial Billing Period Unit",试用账期单位
"Two Weeks",两周
"Unable to save Billing Agreement:",无法保存记账协议：
"Unsupported currency code: %1.",不支持的货币代码：%1
"Void action is not available.",空操作不可用。
"We cannot retrieve the payment info model object.",检索不到支付信息模型对象。
"We cannot retrieve the payment information object instance.",检索不到支付信息对象实例。
"We cannot retrieve the payment method code.",检索不到支付方法代码。
"We cannot retrieve the payment method model object.",检索不到支付方法模型对象。
"We found a wrong or empty billing amount specified.",未指定或指定错误的账单额。
"We found an incorrect credit card expiration date.",不正确的信用卡过期日期。
Week,周
"What is this?",这是什么？
Year,年
"You can't use the payment type you selected to make payments to the billing country.",不能选择该支付类型来支付到账单目的地国家。
"Zero Subtotal Checkout",无小计结账
