Remove,Verwijderen
Apply,Toepassen
Add,Toevoegen
"Please wait, loading...","Please wait, loading..."
"Attribute Set","Attribute Set"
Category,Category
"Conditions Combination","Voorwaarden Combinatie"
contains,bevat
"Open Chooser","Open Kiezer"
"is one of","is een van de"
"is not one of","is niet een van de"
"equals or greater than","Gelijk aan of minder dan"
"equals or less than","Gelijk aan of minder dan"
"greater than","groter dan"
"less than","minder dan"
is,is
"is not","is niet"
"Invalid discount amount.","Ongeldige hoeveelheid korting."
"End Date must follow Start Date.","End Date must follow Start Date."
"Websites must be specified.","Websites moeten worden opgegeven."
"Customer Groups must be specified.","Klanten groep moeten worden opgegeven."
to,naar
by,door
"Please choose an action to add.","Please choose an action to add."
"Perform following actions","Voer volgende acties uit"
"does not contain","Bevat niet"
"Please choose a condition to add.","Please choose a condition to add."
ALL,ALLE
ANY,ELKE
TRUE,WAAR
FALSE,VALS
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
