Remove,删除
Apply,应用
Add,添加
"Please wait, loading...","Please wait, loading..."
"Attribute Set","Attribute Set"
Category,Category
"Conditions Combination",条件组合
contains,包含
"Open Chooser",打开选择器
"is one of",属于
"is not one of",不属于
"equals or greater than",等于或大于
"equals or less than",等于或小于
"greater than",大于
"less than",小于
is,是
"is not",非
"Invalid discount amount.",无效的折扣额。
"End Date must follow Start Date.","End Date must follow Start Date."
"Websites must be specified.",必须指定网站。
"Customer Groups must be specified.",必须指定顾客群体。
to,至
by,由
"Please choose an action to add.","Please choose an action to add."
"Perform following actions",执行下列操作
"does not contain",不包含
"Please choose a condition to add.","Please choose a condition to add."
ALL,全部
ANY,任意
TRUE,真
FALSE,否
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
