Remove,Supprimer
Apply,Appliquer
Add,Ajouter
"Please wait, loading...","Please wait, loading..."
"Attribute Set","Attribute Set"
Category,Category
"Conditions Combination","Combinaison de conditions"
contains,contient
"Open Chooser","Ouvrir choisisseur"
"is one of","est un de"
"is not one of","n'est pas un de"
"equals or greater than","supérieur ou égal à"
"equals or less than","inférieur ou égal à"
"greater than","plus grand que"
"less than","inférieur à"
is,est
"is not","n'est pas"
"Invalid discount amount.","Montant de réduction invalide"
"End Date must follow Start Date.","End Date must follow Start Date."
"Websites must be specified.","Les sites internet doivent être spécifiés."
"Customer Groups must be specified.","Les groupes clients doivent être spécifiés."
to,à
by,par
"Please choose an action to add.","Please choose an action to add."
"Perform following actions","Exécuter les actions suivantes"
"does not contain","ne contient pas"
"Please choose a condition to add.","Please choose a condition to add."
ALL,TOUS
ANY,"N'IMPORTE LEQUEL"
TRUE,VRAI
FALSE,FAUX
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
