Remove,Eliminar
Apply,Solicitar
Add,Agregar
"Please wait, loading...","Please wait, loading..."
"Attribute Set","Attribute Set"
Category,Category
"Conditions Combination","Combinación de condiciones"
contains,contiene
"Open Chooser","Abrir selector"
"is one of","es uno de"
"is not one of","no es uno de"
"equals or greater than","igual o mayor que"
"equals or less than","igual o menor que"
"greater than","mayor que"
"less than","menor que"
is,Es.
"is not","No es."
"Invalid discount amount.","La cantidad del descuento no es válida."
"End Date must follow Start Date.","End Date must follow Start Date."
"Websites must be specified.","Se deben especificar las páginas web."
"Customer Groups must be specified.","Se deben especificar los grupos de clientes."
to,a
by,por
"Please choose an action to add.","Please choose an action to add."
"Perform following actions","Realizar las siguientes acciones"
"does not contain","no contiene"
"Please choose a condition to add.","Please choose a condition to add."
ALL,TODO
ANY,ALGUNOS
TRUE,VERDADERO
FALSE,FALSO
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
