Remove,Remover
Apply,Solicitar
Add,Adicionar
"Please wait, loading...","Please wait, loading..."
"Attribute Set","Attribute Set"
Category,Category
"Conditions Combination","Combinação de condições"
contains,contém
"Open Chooser","Abrir Seletor"
"is one of","é um de"
"is not one of","não é um de"
"equals or greater than","é igual ou maior que"
"equals or less than","é igual ou menor que"
"greater than","superior a"
"less than","menos que"
is,é
"is not","não é"
"Invalid discount amount.","Quantidade de desconto inválida."
"End Date must follow Start Date.","End Date must follow Start Date."
"Websites must be specified.","Os Websites devem ser especificados."
"Customer Groups must be specified.","Os Grupos de Clientes devem ser especificados."
to,para
by,por
"Please choose an action to add.","Please choose an action to add."
"Perform following actions","Executar seguintes ações"
"does not contain","não contém"
"Please choose a condition to add.","Please choose a condition to add."
ALL,TUDO
ANY,"QUALQUER UM"
TRUE,VERDADEIRO
FALSE,FALSO
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
